1-1	500	500
1-2	1001	1556
1-3	1548	3172
1-4	27212	122313
1-5	34006	211996
1-6	40877	304521
1-7	47282	393093
1-8	57530	498776
1-9	64871	592506
1-10	71310	682982
1-11	77749	772218
1-12	84187	858531
1-13	90632	946310
1-14	97064	1034874
1-15	103490	1121688
1-16	109922	1208965
1-17	116354	1297556
1-18	122786	1386649
1-19	129216	1476086
1-20	135646	1566473
1-21	142072	1653211
1-22	148502	1740720
1-23	154932	1829419
1-24	161362	1917115
1-25	167799	2003886
1-26	174231	2091467
1-27	180668	2181706
1-28	187100	2270466
1-29	193532	2358662
1-30	199958	2449515
1-31	206384	2537207
1-32	212810	2624786
1-33	219236	2712544
1-34	225662	2801457
1-35	232088	2890231
1-36	238514	2980613
1-37	244940	3067316
1-38	251366	3155239
1-39	257798	3243734
1-40	264230	3331643
1-41	270662	3420976
1-42	277094	3507722
1-43	283526	3596725
1-44	289952	3686223
1-45	296384	3773653
1-46	302810	3861918
1-47	309236	3950325
1-48	315662	4039360
1-49	322088	4127294
1-50	328494	4217270
1-51	334920	4306244
1-52	341339	4392981
1-53	347745	4481033
1-54	354145	4570420
1-55	360551	4659734
1-56	366957	4748534
1-57	373363	4836525
1-58	379769	4924124
1-59	386175	5011473
1-60	392575	5098368
1-61	398975	5187304
1-62	405374	5273793
1-63	411774	5362523
1-64	418161	5450874
1-65	424547	5536972
1-66	430940	5626954
1-67	437327	5713886
1-68	443701	5802330
1-69	450075	5890736
1-70	456448	5976958
1-71	462815	6066653
1-72	469182	6153572
1-73	475542	6238653
1-74	481903	6325407
1-75	488277	6413623
1-76	494651	6501054
1-77	501018	6589992
1-78	507385	6678893
1-79	513752	6766258
1-80	520119	6855325
1-81	526486	6945022
1-82	532847	7031486
1-83	539208	7118626
1-84	545575	7207237
1-85	551936	7296533
1-86	558290	7385008
1-87	564644	7475796
1-88	570998	7564051
1-89	577358	7650243
1-90	583725	7740037
1-91	590086	7828505
1-92	596439	7914373
1-93	602793	8003258
1-94	609134	8090374
1-95	615462	8178556
1-96	621790	8265760
1-97	628118	8353773
1-98	634446	8442092
1-99	640774	8529535
1-100	647102	8615770
1-101	653430	8704346
1-102	659752	8794406
1-103	666080	8881495
1-104	672402	8970400
1-105	678724	9058104
1-106	685052	9145612
1-107	691374	9234388
1-108	697696	9322045
1-109	704011	9409326
1-110	710313	9498459
1-111	716615	9586287
1-112	722911	9673457
1-113	729207	9760875
1-114	735503	9847921
2-1	500	500
2-2	1001	1554
2-3	25601	113185
2-4	27324	120496
2-5	34355	209696
2-6	41325	301265
2-7	47783	391179
2-8	54241	480467
2-9	60699	569661
2-10	67163	659040
2-11	73627	746914
2-12	80091	835874
2-13	86555	925139
2-14	93013	1012729
2-15	101723	1113241
2-16	108236	1201463
2-17	114756	1290155
2-18	121275	1376023
2-19	127795	1465328
2-20	134315	1553895
2-21	140835	1641610
2-22	147355	1730961
2-23	153868	1818752
2-24	160375	1906522
2-25	166888	1995862
2-26	173401	2084521
2-27	179914	2176390
2-28	186421	2265004
2-29	192928	2354250
2-30	199435	2443552
2-31	205955	2532950
2-32	212475	2621345
2-33	218988	2708959
2-34	225501	2798949
2-35	232014	2888428
2-36	238534	2976057
2-37	245041	3064715
2-38	251548	3154571
2-39	258055	3242367
2-40	264562	3331058
2-41	271068	3418353
2-42	277575	3506829
2-43	284082	3594505
2-44	290589	3682196
2-45	297095	3769095
2-46	303595	3859451
2-47	310102	3947784
2-48	316609	4035769
2-49	323116	4124819
2-50	329623	4213269
2-51	336130	4302641
2-52	342637	4391614
2-53	349144	4480021
2-54	355651	4569809
2-55	362158	4660272
2-56	368665	4748439
2-57	375172	4836593
2-58	381678	4922768
2-59	388184	5009948
2-60	394690	5097413
2-61	401197	5185313
2-62	407710	5274040
2-63	414210	5362560
2-64	420716	5449530
2-65	427223	5538051
2-66	433723	5628658
2-67	440222	5716092
2-68	446722	5806278
2-69	453221	5893297
2-70	459721	5981388
2-71	466221	6070066
2-72	472721	6158383
2-73	479221	6248232
2-74	485720	6335098
2-75	492220	6423316
2-76	498707	6511957
2-77	505194	6599839
2-78	511681	6688015
2-79	518168	6776973
2-80	524654	6864766
2-81	531128	6954575
2-82	537602	7044825
2-83	544076	7132705
2-84	550550	7223158
2-85	557031	7311940
2-86	563505	7400181
2-87	569991	7486778
2-88	576472	7575122
2-89	582952	7662441
2-90	589433	7751923
2-91	595914	7840888
2-92	602401	7930091
2-93	608882	8019093
2-94	615356	8106650
2-95	621824	8194158
2-96	628298	8281859
2-97	634772	8372157
2-98	641240	8459549
2-99	647713	8546833
2-100	654194	8636713
2-101	660668	8724388
2-102	667136	8812076
2-103	673604	8901195
2-104	680072	8989910
2-105	686540	9077533
2-106	693007	9163786
2-107	699468	9251862
2-108	705929	9341186
2-109	712390	9429770
2-110	718858	9518059
2-111	725326	9606594
2-112	731787	9694767
2-113	738248	9781991
2-114	744709	9871698
3-1	500	500
3-2	1001	1567
3-3	1542	3172
3-4	27618	123941
3-5	34453	216088
3-6	41536	307411
3-7	48000	395755
3-8	54464	484331
3-9	60928	572677
3-10	67386	662622
3-11	73844	751620
3-12	80302	841152
3-13	86760	930315
3-14	93222	1018939
3-15	99678	1106587
3-16	106129	1193875
3-17	112585	1282063
3-18	119030	1371037
3-19	125475	1460080
3-20	131920	1548274
3-21	138365	1635346
3-22	144790	1724506
3-23	151215	1813708
3-24	156250	1846959
3-25	163568	1936943
3-26	170454	2028490
3-27	177151	2118148
3-28	183848	2207412
3-29	190545	2297311
3-30	197242	2385337
3-31	203902	2474553
3-32	210570	2563233
3-33	217245	2651074
3-34	223913	2740601
3-35	230574	2830405
3-36	237228	2918272
3-37	243882	3007803
3-38	250536	3096309
3-39	257190	3184610
3-40	263844	3273378
3-41	270498	3363737
3-42	277152	3453550
3-43	283806	3540853
3-44	290460	3628714
3-45	297114	3717996
3-46	303761	3807328
3-47	310415	3897307
3-48	317069	3987563
3-49	323623	4077993
3-50	330177	4165475
3-51	336731	4253515
3-52	343285	4340221
3-53	349832	4429221
3-54	356371	4517408
3-55	362896	4607504
3-56	369436	4694376
3-57	375962	4783927
3-58	382487	4872416
3-59	389006	4963199
3-60	395539	5052337
3-61	402058	5141676
3-62	408591	5232806
3-63	415117	5321455
3-64	421643	5410529
3-65	428169	5499648
3-66	434695	5589248
3-67	441214	5677893
3-68	447712	5768051
3-69	454210	5857478
3-70	460693	5946791
3-71	467183	6038270
3-72	473652	6124734
3-73	480121	6213744
3-74	486583	6302986
3-75	493052	6390512
3-76	499521	6477742
3-77	505990	6566776
3-78	512459	6655397
3-79	518921	6745163
3-80	525383	6834834
3-81	531845	6922373
3-82	538307	7010210
3-83	544769	7099684
3-84	551231	7189434
3-85	557693	7278480
3-86	564155	7368673
3-87	570625	7455318
3-88	577088	7544508
3-89	583551	7631117
3-90	590006	7718509
3-91	596461	7807912
3-92	602916	7896406
3-93	609371	7986579
3-94	615819	8075015
3-95	622267	8162799
3-96	628714	8248067
3-97	635162	8338789
3-98	641610	8428516
3-99	648051	8517785
3-100	654499	8606839
3-101	660947	8694551
3-102	667395	8785113
3-103	673829	8873834
3-104	680270	8962355
3-105	686711	9050350
3-106	693145	9138519
3-107	699579	9228128
3-108	706013	9315291
3-109	712447	9403317
3-110	718881	9493037
3-111	725315	9581401
3-112	731749	9669415
3-113	738183	9757146
3-114	744617	9846480
3-115	751051	9937007
4-1	500	500
4-2	1001	1567
4-3	24472	108211
4-4	31181	198522
4-5	38007	289334
4-6	44315	374854
4-7	50624	464275
4-8	56933	553573
4-9	63242	641808
4-10	69551	731674
4-11	75854	819968
4-12	82163	908152
4-13	88465	994760
4-14	94768	1082679
4-15	101071	1169523
4-16	107374	1256843
4-17	113677	1346024
4-18	119968	1433218
4-19	126270	1519024
4-20	132567	1606628
4-21	138864	1694562
4-22	145155	1783522
4-23	151440	1871259
4-24	157731	1957658
4-25	164010	2044068
4-26	170295	2131150
4-27	176580	2219330
4-28	182865	2305978
4-29	189156	2391217
4-30	195441	2480040
4-31	201720	2568755
4-32	207993	2655078
4-33	214278	2743472
4-34	220557	2830001
4-35	226824	2917212
4-36	233096	3007658
4-37	239369	3093692
4-38	245636	3182421
4-39	251909	3269095
4-40	258176	3357980
4-41	264443	3445605
4-42	270704	3532357
4-43	276965	3621126
4-44	283220	3709107
4-45	289475	3795967
4-46	295742	3882314
4-47	302003	3969326
4-48	308252	4056520
4-49	314501	4143135
4-50	320750	4228017
4-51	326999	4314989
4-52	333254	4402260
4-53	339503	4488872
4-54	345746	4576994
4-55	351983	4661060
4-56	358214	4749695
4-57	364445	4837568
4-58	370670	4923118
4-59	376895	5010734
4-60	383114	5096776
4-61	389327	5183335
4-62	395540	5270883
4-63	401753	5357779
4-64	407972	5445052
4-65	414185	5531528
4-66	420404	5619397
4-67	426617	5706674
4-68	432830	5794154
4-69	439042	5883538
4-70	445267	5971299
4-71	451492	6058694
4-72	457717	6146031
4-73	463942	6231937
4-74	470167	6317864
4-75	476379	6407111
4-76	482592	6496173
4-77	488811	6583784
4-78	495024	6670083
4-79	501237	6758264
4-80	507450	6845714
4-81	513662	6935509
4-82	519875	7022138
4-83	526088	7108985
4-84	532294	7192386
4-85	538495	7279050
4-86	544696	7365570
4-87	550897	7452329
4-88	557098	7539222
4-89	563299	7625860
4-90	569500	7713812
4-91	575701	7801177
4-92	581896	7889504
4-93	588097	7978075
4-94	594298	8063046
4-95	600493	8151123
4-96	606688	8239909
4-97	612883	8326781
4-98	619072	8414094
4-99	625261	8500330
4-100	631456	8587061
4-101	637651	8675286
4-102	643846	8762625
4-103	650035	8849502
4-104	656224	8935395
4-105	662419	9020822
4-106	668614	9106661
4-107	674809	9194830
4-108	681004	9283507
4-109	687193	9370415
4-110	693382	9458465
4-111	699571	9545433
4-112	705760	9633967
4-113	711949	9720704
4-114	718138	9808011
5-1	500	500
5-2	1001	1561
5-3	1520	3102
5-4	2247	5509
5-5	6372	22047
5-6	21573	92563
5-7	30787	140621
5-8	37587	230428
5-9	44774	322928
5-10	51464	415668
5-11	58154	505228
5-12	64843	594673
5-13	71532	684344
5-14	78207	773808
5-15	84881	860666
5-16	91556	951246
5-17	98238	1039748
5-18	104912	1128677
5-19	111579	1216851
5-20	118231	1305505
5-21	124876	1397355
5-22	131521	1485867
5-23	138174	1573711
5-24	144834	1663652
5-25	151494	1752311
5-26	158154	1842350
5-27	164807	1931716
