1-3	52853	385598
1-4	54765	398798
1-5	56732	412432
1-6	60352	439568
1-7	69233	508417
1-8	71463	525373
1-9	73787	542809
1-10	76108	560358
1-11	81795	605406
1-12	84526	626037
1-13	87394	647805
1-14	90412	671148
1-15	93494	694959
1-16	96777	720528
1-17	100146	746710
1-18	103709	774445
1-19	107405	803200
1-20	111213	832476
1-21	115183	863020
1-22	119349	895653
1-23	123685	929645
1-24	128176	964829
1-25	132819	1001043
1-26	142037	1070459
1-27	147807	1115700
1-28	153699	1161452
1-29	159743	1208624
1-30	166018	1257501
1-31	172509	1308146
1-32	179182	1359927
1-33	186023	1413008
1-34	193034	1467401
1-35	200228	1523273
1-36	207571	1580697
1-37	215100	1640021
1-38	222812	1700755
1-39	230714	1762252
1-40	243585	1976686
1-41	272144	2209368
1-42	286650	2438538
1-43	301156	2667461
1-44	315662	2895548
1-45	330168	3123067
1-46	344674	3352143
1-47	359180	3579854
1-48	373682	3807679
1-49	388183	4037195
1-50	402684	4265123
1-51	417185	4493523
1-52	431683	4722206
1-53	446181	4948883
1-54	460679	5178047
1-55	475177	5406293
1-56	489675	5635180
1-57	504170	5862148
1-58	518664	6089137
1-59	533158	6316911
1-60	547649	6545395
1-61	562140	6774369
1-62	577131	7006194
1-63	591622	7234674
1-64	606113	7461959
1-65	619140	7568220
1-66	634984	7807935
1-67	650828	8047136
1-68	665553	8165911
1-69	679302	8276215
1-70	735797	8760100
1-71	768722	9044644
1-72	788055	9203119
1-73	810198	9496719
1-74	832338	9790145
1-75	854478	10081839
1-76	876618	10374492
1-77	895139	10528871
1-78	917612	10823602
1-79	940085	11118030
1-80	962558	11412214
1-81	985031	11707668
1-82	1007501	12002898
1-83	1029971	12298488
1-84	1052441	12593146
1-85	1074911	12888265
1-86	1097381	13181440
1-87	1119851	13474667
1-88	1142321	13772064
1-89	1177624	14065901
1-90	1201642	14375935
1-91	1225660	14685913
1-92	1269569	15054476
1-93	1294752	15374420
1-94	1319936	15695719
1-95	1345116	16014501
1-96	1370297	16334806
1-97	1395477	16654234
1-98	1420658	16974626
1-99	1445839	17295333
1-100	1471014	17614177
1-101	1496189	17934416
2-9	82137	570309
2-10	88386	615401
2-11	94046	656138
2-12	97484	680530
2-13	100967	705474
2-14	104428	730123
2-15	107861	754396
2-16	111324	779240
2-17	114648	803390
2-18	118052	828466
2-19	125480	874169
2-20	129476	902340
2-21	133484	930428
2-22	137664	959823
2-23	142029	990519
2-24	146531	1022370
2-25	151227	1055287
2-26	156117	1090918
2-27	175777	1218384
2-28	187032	1412259
2-29	197779	1604608
2-30	208510	1798711
2-31	219257	1990937
2-32	229988	2182035
2-33	240702	2373913
2-34	251416	2565774
2-35	262130	2758901
2-36	272844	2951701
2-37	283558	3143737
2-38	290409	3190668
2-39	296961	3236966
2-40	308177	3432654
2-41	319376	3628844
2-42	333443	3736695
2-43	345442	3938962
2-44	357442	4141450
2-45	374648	4282387
2-46	395653	4452200
2-47	429599	4733134
2-48	444768	4960621
2-49	459937	5188226
2-50	475106	5415483
2-51	490275	5643913
2-52	505441	5870183
2-53	520608	6099234
2-54	535775	6326577
2-55	550941	6553580
2-56	566107	6780252
2-57	581272	7007584
2-58	596436	7234438
2-59	611601	7463625
2-60	626766	7691158
2-61	641931	7918686
2-62	657093	8147947
2-63	672255	8376218
2-64	687415	8604226
2-65	702574	8830856
2-66	717734	9060431
2-67	732893	9286562
2-68	748051	9515153
2-69	763209	9743276
2-70	778366	9971671
2-71	793523	10198629
2-72	808680	10424879
2-73	823836	10651468
2-74	838992	10879067
2-75	854148	11106640
2-76	869304	11333286
2-77	884460	11562131
2-78	899615	11788034
2-79	914771	12015350
2-80	929926	12241258
2-81	945082	12468601
2-82	960238	12696852
2-83	975394	12924513
2-84	990549	13151572
2-85	1005704	13379659
2-86	1020859	13608571
2-87	1038478	13751901
2-88	1054962	13991981
2-89	1071445	14231924
2-90	1087928	14472367
2-91	1104411	14712726
2-92	1120894	14952267
2-93	1137377	15192706
2-94	1152424	15310761
2-95	1170307	15562099
2-96	1188190	15813174
2-97	1206073	16065166
2-98	1223956	16316231
2-99	1241839	16570160
2-100	1259722	16821155
2-101	1277605	17073529
2-102	1295488	17323987
2-103	1313371	17574958
2-104	1331254	17827495
2-105	1349137	18078333
2-106	1367020	18331491
2-107	1384903	18584235
2-108	1402786	18835935
2-109	1420669	19089109
2-110	1438552	19340009
2-111	1456435	19592002
2-112	1474318	19843389
2-113	1492201	20095258
2-114	1510084	20347251
3-3	56027	348666
3-4	58369	362574
3-5	61317	379755
3-6	63666	393906
3-7	67742	419551
3-8	73694	463311
3-9	76968	484120
3-10	103941	663149
3-11	108590	695000
3-12	113402	728603
3-13	123663	801067
3-14	129109	839447
3-15	134752	880265
3-16	146327	957289
3-17	152941	1004102
3-18	159773	1052351
3-19	166903	1103224
3-20	174255	1156670
3-21	186536	1359246
3-22	198821	1562890
3-23	211071	1767424
3-24	223317	1970656
3-25	235544	2174555
3-26	263347	2480369
3-27	276295	2689113
3-28	289246	2896637
3-29	302192	3103011
3-30	315138	3311839
3-31	328084	3519498
3-32	341028	3725956
3-33	353970	3933875
3-34	366912	4140780
3-35	379848	4349403
3-36	392784	4556840
3-37	405723	4764707
3-38	419133	4975576
3-39	432062	5182763
3-40	444986	5390926
3-41	457911	5599431
3-42	470835	5806987
3-43	483760	6015677
3-44	496677	6224604
3-45	509592	6431323
3-46	522503	6638899
3-47	535414	6845821
3-48	548326	7053191
3-49	561242	7259823
3-50	588584	7570946
3-51	602271	7784391
3-52	615956	7997668
3-53	627239	8079858
3-54	641874	8299707
3-55	656509	8519195
3-56	671137	8740615
3-57	685759	8958379
3-58	700375	9178938
3-59	714977	9399151
3-60	729580	9619573
3-61	744181	9840572
3-62	758770	10061155
3-63	773349	10281200
3-64	787924	10501465
3-65	802499	10721810
3-66	817073	10942455
3-67	831637	11161934
3-68	847935	11272313
3-69	863518	11499632
3-70	879101	11728715
3-71	894683	11954669
3-72	910265	12179589
3-73	925840	12406372
3-74	941410	12635173
3-75	956980	12862834
3-76	972550	13090991
3-77	988120	13317968
3-78	1003690	13545901
3-79	1041272	13936443
3-80	1057768	14170383
3-81	1074263	14404663
3-82	1090758	14638102
3-83	1107253	14874300
3-84	1123748	15110760
3-85	1140243	15346027
3-86	1156737	15579443
3-87	1173232	15813381
3-88	1190320	15931071
3-89	1218321	16240195
3-90	1235879	16481659
3-91	1256285	16619937
3-92	1275112	16867534
3-93	1293939	17115120
3-94	1312766	17364818
3-95	1331593	17611785
3-96	1350420	17860611
3-97	1369245	18108249
3-98	1388067	18357826
3-99	1406892	18607367
3-100	1425714	18856851
3-101	1444534	19105757
4-12	88789	549179
4-13	104024	649714
4-14	124626	792576
4-15	139638	895272
4-16	154991	999963
4-17	166667	1078354
4-18	177556	1147271
4-19	188447	1216747
4-20	199497	1287206
4-21	210012	1353884
4-22	219898	1415439
4-23	229769	1476972
4-24	239114	1535983
4-25	247683	1591303
4-26	256436	1647737
4-27	266484	1711737
4-28	276552	1776017
4-29	285693	1834309
4-30	294978	1893653
4-31	304572	1954962
4-32	314072	2015075
4-33	323861	2077212
4-34	333981	2141372
4-35	344017	2205471
4-36	353821	2268589
4-37	363656	2332056
4-38	373700	2397207
4-39	383948	2464111
4-40	394448	2532748
4-41	405139	2603114
4-42	416110	2675062
4-43	427278	2748527
4-44	438643	2823373
4-45	450030	2897951
4-46	461673	2974658
4-47	473478	3052711
4-48	485092	3130491
4-49	496978	3210577
4-50	508953	3291096
4-51	521199	3373764
4-52	533637	3457515
4-53	549326	3567638
4-54	562513	3657317
4-55	575675	3747020
4-56	588846	3837291
4-57	602384	3931474
4-58	616048	4025257
4-59	629979	4122264
4-60	644043	4218846
4-61	658317	4317345
4-62	677485	4569581
4-63	692130	4674836
4-64	707026	4782093
4-65	723975	4946497
4-66	741242	5118755
4-67	759820	5327835
4-68	778201	5525912
4-69	799945	5797803
4-70	821082	6067124
4-71	839890	6218517
4-72	863227	6504273
4-73	890582	6759612
4-74	925910	7043514
4-75	955519	7385461
4-76	988858	7649898
4-77	1017717	7983114
4-78	1046576	8315869
4-79	1075435	8649014
4-80	1104294	8980589
4-81	1133153	9312481
4-82	1162012	9645109
4-83	1190871	9977817
4-84	1219730	10309559
4-85	1248549	10640716
4-86	1277368	10971663
4-87	1306187	11303784
4-88	1335006	11633469
4-89	1363825	11965853
4-90	1392644	12299409
4-91	1421460	12631856
4-92	1450276	12964013
4-93	1479092	13296968
4-94	1507908	13629701
4-95	1536724	13961472
4-96	1565540	14294546
4-97	1591880	14495012
4-98	1656889	14953503
4-99	1684967	15159614
4-100	1733961	15554891
4-101	1769934	15941984
4-102	1801332	16177983
4-103	1832957	16416454
4-104	1865031	16657282
4-105	1897550	16902716
4-106	1930526	17152069
4-107	1963954	17403646
4-108	1997643	17657854
4-109	2031795	17915500
4-110	2091998	18403397
4-111	2129049	18684467
4-112	2166587	18969777
4-113	2242915	19612217
4-114	2283893	19928214
4-115	2325329	20250149
4-116	2367089	20571854
4-117	2409231	20896487
4-118	2451961	21228483
4-119	2495010	21561925
4-120	2538430	21897175
4-121	2582438	22236478
4-122	2626898	22579513
