1-4	7254	22447
1-5	34092	128993
1-6	566830	2677298
1-7	664052	3173697
1-8	813390	3951479
1-9	881665	4300414
1-10	906683	4423726
1-11	951179	4634743
1-12	1024332	5008163
1-13	1062928	5193627
1-14	1102953	5393238
1-15	1124893	5499854
1-16	1148256	5613801
1-17	1191618	5822364
1-18	1219198	5956210
1-19	1277992	6297128
1-20	1306812	6438263
1-21	1336841	6585672
1-22	1371651	6819781
1-23	1402530	6971505
1-24	1439568	7219935
1-25	1531342	7678403
1-26	1601416	8033758
1-27	1643738	8306436
1-28	1716265	8731082
1-29	1792712	9118376
1-30	1842691	9429570
1-31	1926648	9849081
1-32	1984306	10199870
1-33	2041980	10550581
1-34	2116754	10927057
1-35	2179228	11305317
1-36	2241576	11681834
1-37	2303705	12056831
1-38	2365301	12431174
1-39	2426942	12800284
1-40	2488316	13171100
1-41	2549582	13541326
1-42	2610800	13912455
1-43	2671832	14282179
1-44	2736476	14670821
1-45	2800981	15057657
1-46	2891087	15572296
1-47	2956189	15961656
1-48	3024026	16368099
1-49	3091846	16772742
1-50	3159571	17176504
1-51	3227265	17581511
1-52	3294927	17984843
1-53	3362418	18387293
1-54	3429894	18790149
1-55	3497322	19191173
1-56	3564767	19592705
1-57	3632164	19995153
1-58	3699529	20399226
1-59	3766800	20799347
1-60	3834007	21200384
1-61	3901216	21600396
1-62	3988671	22109091
1-63	4058961	22526369
1-64	4129329	22942091
1-65	4199588	23359012
1-66	4269830	23773845
1-67	4340042	24190746
1-68	4435700	24744716
1-69	4509360	25178068
1-70	4582942	25613976
1-71	4656524	26046892
1-72	4730091	26482575
1-73	4803642	26918404
1-74	4877224	27352554
1-75	4950775	27788684
1-76	5063934	28439545
1-77	5141548	28897331
1-78	5249622	29517322
1-79	5331151	29996794
1-80	5412663	30476788
1-81	5494618	30959122
1-82	5576573	31441973
1-83	5658512	31924082
1-84	5740436	32406219
1-85	5822343	32884789
1-86	5904138	33365009
1-87	5985381	33840112
1-88	6066639	34318267
1-89	6147817	34793000
1-90	6229012	35271476
1-91	6310207	35748211
1-92	6391402	36224166
1-93	6472612	36703997
1-94	6553791	37181009
1-95	6634954	37656840
1-96	6716102	38133020
1-97	6797249	38607331
1-98	6903445	39218168
1-99	6988352	39716762
1-100	7073274	40215534
1-101	7158212	40713044
1-102	7243119	41211301
1-103	7328042	41709451
1-104	7412949	42207567
1-105	7497872	42704775
1-106	7582810	43200483
1-107	7667733	43699497
2-4	6405	18933
2-5	259556	1284653
2-6	372835	1871337
2-7	564015	2888065
2-8	655826	3331714
2-9	697817	3528423
2-10	755133	3819138
2-11	811911	4118516
2-12	862329	4380462
2-13	910654	4625955
2-14	1005821	5044362
2-15	1089643	5498550
2-16	1165722	5898323
2-17	1192888	6040688
2-18	1221444	6190734
2-19	1296761	6578937
2-20	1396576	7073243
2-21	1435872	7343918
2-22	1476462	7622081
2-23	1542936	8031871
2-24	1611920	8450557
2-25	1691952	8881003
2-26	1745151	9225356
2-27	1797551	9568066
2-28	1864723	9982791
2-29	1919407	10336422
2-30	1973944	10688391
2-31	2053503	11145264
2-32	2110561	11506330
2-33	2218443	12098264
2-34	2297603	12517958
2-35	2365763	12933658
2-36	2434654	13355739
2-37	2502698	13767025
2-38	2593214	14270520
2-39	2664122	14697969
2-40	2734947	15125083
2-41	2922733	16153510
2-42	2998826	16603385
2-43	3074863	17051695
2-44	3150790	17499176
2-45	3226690	17949963
2-46	3302507	18399218
2-47	3378296	18848241
2-48	3454030	19297258
2-49	3544043	19820965
2-50	3622416	20282401
2-51	3726923	20884277
