1-5	4709	13214
1-6	9133	28872
1-7	31915	122345
1-8	88110	367501
1-9	96271	399432
1-10	105279	439418
1-11	110302	460545
1-12	123638	520991
1-13	139780	594468
1-14	151334	712075
1-15	162647	828983
1-16	180481	978807
1-17	192200	1096090
1-18	203834	1215088
1-19	215354	1333069
1-20	232940	1481764
1-21	245495	1605552
1-22	257805	1726594
1-23	270309	1848854
1-24	283288	1973933
1-25	295718	2097069
1-26	308079	2218912
1-27	320313	2340443
1-28	332522	2464098
1-29	344703	2583655
1-30	356835	2706651
1-31	368893	2829024
1-32	380888	2949048
1-33	392870	3069769
1-34	404865	3191712
1-35	416795	3314361
1-36	428711	3435731
1-37	440640	3556923
1-38	452544	3677092
1-39	464421	3797979
1-40	476221	3917353
1-41	487971	4039455
1-42	499709	4159241
1-43	511460	4280300
1-44	523159	4398765
1-45	534871	4518227
1-46	549667	4584829
1-47	562044	4706297
1-48	574405	4829090
1-49	586724	4953137
1-50	606039	5109915
1-51	619137	5236439
1-52	632194	5361781
1-53	651965	5510526
1-54	665874	5638343
1-55	679744	5765591
1-56	693600	5893048
1-57	714608	6049024
1-58	730084	6184122
1-59	745558	6318728
1-60	760651	6453185
1-61	776085	6587947
1-62	791546	6722573
1-63	806968	6856835
1-64	829167	7018720
1-65	845000	7154568
1-66	861358	7292380
1-67	877623	7431348
1-68	893862	7570657
1-69	910101	7709007
1-70	925770	7844796
1-71	941465	7979179
1-72	957134	8113129
1-73	972816	8249787
1-74	988485	8385171
1-75	1004142	8519832
1-76	1019785	8656816
1-77	1035442	8791493
1-78	1051112	8927672
1-79	1066834	9064122
1-80	1082543	9199873
1-81	1098240	9334572
1-82	1113895	9470187
1-83	1129511	9605551
1-84	1145153	9742136
1-85	1160835	9876676
1-86	1176491	10013835
1-87	1192174	10148723
1-88	1213121	10311071
1-89	1230207	10454350
1-90	1246214	10591900
1-91	1262169	10728236
1-92	1278449	10867525
1-93	1299306	11023986
1-94	1320390	11181256
1-95	1337864	11326751
1-96	1359447	11491670
1-97	1377338	11638001
1-98	1395187	11782004
1-99	1413051	11928618
1-100	1430886	12073792
1-101	1448736	12220226
1-102	1466585	12363696
1-103	1484435	12509534
1-104	1502257	12655582
1-105	1520092	12801634
1-106	1537940	12947692
1-107	1555788	13092676
1-108	1573624	13238505
1-109	1591446	13382903
1-110	1609268	13528043
1-111	1627090	13673983
1-112	1644899	13820958
2-6	4787	13446
2-7	74663	323049
2-8	81476	352706
2-9	88568	386156
2-10	92502	403827
2-11	100659	440696
2-12	110154	484584
2-13	114827	505932
2-14	119764	528403
2-15	129660	573715
2-16	151820	670664
2-17	164905	726020
2-18	176392	780871
2-19	183918	815904
2-20	191673	851941
2-21	199612	888714
2-22	212426	1015605
2-23	225129	1139471
2-24	246890	1313220
2-25	260641	1442942
2-26	281985	1545885
2-27	298157	1688920
2-28	314088	1830670
2-29	329539	1970444
2-30	344934	2110438
2-31	360242	2249211
2-32	375536	2388654
2-33	390776	2527128
2-34	405920	2665813
2-35	421063	2807339
2-36	436218	2943979
2-37	451347	3081112
2-38	469252	3161708
2-39	485748	3304817
2-40	502230	3447891
2-41	518697	3589625
2-42	535165	3733329
2-43	551633	3877014
2-44	568099	4022506
2-45	584550	4165152
2-46	608150	4341405
2-47	625744	4489714
2-48	643338	4640634
2-49	660962	4788338
2-50	678543	4938001
2-51	696079	5086568
2-52	713602	5235563
2-53	731139	5384132
2-54	748618	5530568
2-55	766069	5679459
2-56	783506	5825854
2-57	800971	5974983
2-58	818451	6122204
2-59	835915	6267753
2-60	862152	6459370
2-61	880648	6613397
2-62	899173	6768771
2-63	917713	6922881
2-64	956369	7163895
2-65	975136	7250407
2-66	994905	7408992
2-67	1014674	7566837
2-68	1034428	7724901
2-69	1054182	7882641
2-70	1073952	8041187
2-71	1093706	8201135
2-72	1113460	8358931
2-73	1133199	8518439
2-74	1152938	8676376
2-75	1172677	8835129
2-76	1192416	8992600
2-77	1212155	9149943
2-78	1231894	9310031
