1-5	0.10120036237354674	1-5	2630	6306
1-6	0.5671146006341538	1-6	67602	500674
1-7	0.5709270723237204	1-7	70851	523164
1-8	0.5709270723237204	1-8	74040	549986
1-9	0.5660954250339725	1-9	77318	577121
1-10	0.5750415219688962	1-10	80677	603979
1-11	0.5656802053450098	1-11	84170	631877
1-12	0.5702098746791484	1-12	87801	660602
1-13	0.56960591876793	1-13	91508	688447
1-14	0.5690397101011626	1-14	95343	716530
1-15	0.5660199305450702	1-15	100573	779307
1-16	0.5702476219235996	1-16	104821	812167
1-17	0.5676430620564699	1-17	109129	844341
1-18	0.5673033368564094	1-18	113568	877261
1-19	0.5678317982787257	1-19	118321	915352
1-20	0.5730409180129851	1-20	124253	983491
1-21	0.5719839951683527	1-21	129579	1031697
1-22	0.5693039408123207	1-22	134663	1070765
1-23	0.5707005888570135	1-23	139908	1111018
1-24	0.5747772912577381	1-24	145268	1151058
1-25	0.5731541597463385	1-25	151251	1205201
1-26	0.568888721123358	1-26	157006	1250361
1-27	0.5699456439679903	1-27	162876	1295610
1-28	0.5641703155669636	1-28	169005	1345484
1-29	0.5731541597463385	1-29	175333	1397396
1-30	0.5695681715234788	1-30	181964	1455367
1-31	0.5729276762796316	1-31	188497	1507434
1-32	0.5687754793900045	1-32	195172	1560650
1-33	0.5743243243243243	1-33	202610	1631492
1-34	0.575456741657859	1-34	209660	1689326
1-35	0.5670768533897026	1-35	217158	1756768
1-36	0.5660199305450702	1-36	224518	1817790
1-37	0.5704741053903065	1-37	232154	1882856
1-38	0.5648120187226332	1-38	240510	1964420
1-39	0.5731541597463385	1-39	249153	2051228
1-40	0.5696814132568323	1-40	257706	2132434
1-41	0.5699078967235391	1-41	266161	2208087
1-42	0.5716065227238412	1-42	274762	2285081
1-43	0.568662237656651	1-43	282999	2349365
1-44	0.5700211384568926	1-44	291579	2420651
1-45	0.5700588857013438	1-45	301171	2516143
1-46	0.5684357541899442	1-46	310069	2590405
1-47	0.5738713573909104	1-47	319266	2670245
1-48	0.5679827872565303	1-48	328534	2749398
1-49	0.5653027329004983	1-49	337689	2822904
1-50	0.5693039408123207	1-50	347483	2910383
1-51	0.5711913030348784	1-51	357034	2988993
1-52	0.5720217424128039	1-52	366645	3066573
1-53	0.566925864411898	1-53	376652	3151598
1-54	0.5706250943681112	1-54	386844	3240174
1-55	0.5702853691680507	1-55	397640	3341454
1-56	0.5711913030348784	1-56	409006	3455734
1-57	0.5739091046353616	1-57	420129	3560344
1-58	0.566699380945191	1-58	430731	3647882
1-59	0.57255020383512	1-59	441792	3745316
1-60	0.5642458100558659	1-60	452721	3836538
1-61	0.5668126226785445	1-61	465957	3985997
1-62	0.571795258946097	1-62	477310	4083531
1-63	0.5680960289898838	1-63	669102	5842985
1-64	0.5680582817454326	1-64	685704	5993768
1-65	0.5651517439226936	1-65	700369	6122741
1-66	0.5697569077457345	1-66	737004	6486513
1-67	0.571795258946097	1-67	769076	6810774
1-68	0.57058734712366	1-68	785771	6961685
1-69	0.5643213045447683	1-69	825082	7266410
1-70	0.568888721123358	1-70	842258	7416873
1-71	0.5642835573003171	1-71	882590	7802369
1-72	0.5727011928129246	1-72	900697	7961323
1-73	0.5720217424128039	1-73	919143	8125393
1-74	0.5672655896119583	1-74	937832	8291552
1-75	0.5727011928129246	1-75	956544	8455037
1-76	0.5639438321002567	1-76	975692	8625825
1-77	0.5692284463234184	1-77	995283	8804233
1-78	0.5719839951683527	1-78	1014651	8972875
1-79	0.5691152045900649	1-79	1034324	9145387
1-80	0.5708515778348181	1-80	1054253	9321008
1-81	0.5726634455684735	1-81	1074604	9504328
1-82	0.5716442699682923	1-82	1094848	9680641
1-83	0.5622829533444058	1-83	1129731	9977510
1-84	0.5708893250792693	1-84	1151808	10174011
1-85	0.5722482258795107	1-85	1199009	10636076
1-86	0.566699380945191	1-86	1221470	10835546
1-87	0.5745508077910313	1-87	1244043	11033978
1-88	0.5685112486788464	1-88	1266956	11237300
1-89	0.5690019628567115	1-89	1289954	11439145
1-90	0.5710403140570738	1-90	1313623	11654895
1-91	0.5665861392118375	1-91	1337129	11862122
1-92	0.569870149479088	1-92	1361219	12081731
1-93	0.5689642156122603	1-93	1385472	12301529
1-94	0.5647365242337309	1-94	1409612	12513832
1-95	0.5720594896572551	1-95	1434175	12733394
1-96	0.5680582817454326	1-96	1459340	12964907
1-97	0.567680809300921	1-97	1484286	13185232
1-98	0.5683602597010419	1-98	1509302	13404101
1-99	0.5737203684131058	1-99	1534881	13633820
1-100	0.5731164125018874	1-100	1560483	13860324
1-101	0.57255020383512	1-101	1586201	14085274
1-102	0.5696814132568323	1-102	1612310	14317511
1-103	0.5711158085459761	1-103	1638651	14551579
1-104	0.5724369621017665	1-104	1695836	15092760
1-105	0.5653782273894006	1-105	1812105	16223193
1-106	0.5756454778801148	1-106	1842767	16496741
1-107	0.5671900951230561	1-107	1873018	16768068
1-108	0.5762871810357844	1-108	1903552	17043225
2-3	0.5183829080477125	2-3	6420	25031
2-4	0.5750037747244451	2-4	10063	44909
2-5	0.5729276762796316	2-5	19379	109671
2-6	0.4714253359504756	2-6	43686	302601
2-7	0.5682847652121396	2-7	63783	475866
2-8	0.5677563037898233	2-8	71180	526310
2-9	0.5768533897025517	2-9	74532	551297
2-10	0.5680960289898838	2-10	77885	576560
2-11	0.5671900951230561	2-11	81347	602742
2-12	0.56960591876793	2-12	84959	630230
2-13	0.5705495998792088	2-13	88705	658184
2-14	0.5702853691680507	2-14	92626	688080
2-15	0.5666616337007399	2-15	96631	718097
2-16	0.5693039408123207	2-16	100801	749792
2-17	0.5719085006794504	2-17	105115	782116
2-18	0.5704741053903065	2-18	109583	816728
2-19	0.575230258191152	2-19	115494	888061
2-20	0.5642835573003171	2-20	120380	928897
2-21	0.5669636116563491	2-21	126003	986168
2-22	0.5678317982787257	2-22	131569	1039251
2-23	0.5692284463234184	2-23	136859	1081911
2-24	0.5692661935678696	2-24	142553	1132539
2-25	0.5716820172127435	2-25	148649	1191979
2-26	0.565491469122754	2-26	154324	1236627
2-27	0.5722482258795107	2-27	160589	1294820
2-28	0.5661331722784236	2-28	167298	1362439
2-29	0.5677940510342745	2-29	173486	1413466
2-30	0.565944436056168	2-30	179893	1467345
2-31	0.5747017967688359	2-31	187504	1551216
2-32	0.5663974029895817	2-32	194469	1614892
2-33	0.5707383361014646	2-33	201705	1682424
2-34	0.569379435301223	2-34	209137	1752789
2-35	0.5676053148120187	2-35	216282	1813194
2-36	0.5692661935678696	2-36	223978	1885110
2-37	0.5752680054356032	2-37	232460	1975647
2-38	0.5710403140570738	2-38	240379	2048335
2-39	0.5668503699229956	2-39	248043	2111702
2-40	0.568398006945493	2-40	256424	2191334
2-41	0.5674165785897629	2-41	265129	2278582
2-42	0.5242337309376416	2-42	274393	2377398
2-43	0.5672655896119583	2-43	282707	2446352
2-44	0.5217801600483165	2-44	292335	2549825
2-45	0.5235920277819719	2-45	301008	2623162
2-46	0.5212894458704515	2-46	309703	2694712
2-47	0.5237807640042277	2-47	318897	2776468
2-48	0.5227238411595954	2-48	340299	2938030
2-49	0.5726634455684735	2-49	349870	3016318
2-50	0.5245734561377019	2-50	359721	3099289
2-51	0.5737203684131058	2-51	370104	3192510
2-52	0.566208666767326	2-52	380502	3284312
2-53	0.5685489959232976	2-53	390921	3373586
2-54	0.5647365242337309	2-54	401858	3474098
2-55	0.5616789974331874	2-55	412616	3567081
2-56	0.5748905329910916	2-56	423436	3658146
2-57	0.5736071266797523	2-57	434739	3759163
2-58	0.5184584025366148	2-58	445790	3850765
2-59	0.5215914238260607	2-59	457106	3945768
2-60	0.5247621923599577	2-60	468865	4049732
2-61	0.567907292767628	2-61	480428	4146155
2-62	0.5709648195681716	2-62	492078	4242433
2-63	0.5645855352559264	2-63	503973	4342714
2-64	0.5266495545825155	2-64	516194	4448623
2-65	0.519968292314661	2-65	528330	4549142
2-66	0.568398006945493	2-66	540776	4654961
2-67	0.5646610297448287	2-67	553699	4770815
2-68	0.5682092707232372	2-68	567584	4909018
2-69	0.5687377321455533	2-69	581042	5034303
2-70	0.5689642156122603	2-70	594090	5145298
2-71	0.5699078967235391	2-71	607460	5262298
2-72	0.5231390608485581	2-72	620765	5375107
2-73	0.5231013136041069	2-73	634263	5489394
2-74	0.5184206552921636	2-74	647991	5606867
2-75	0.569379435301223	2-75	661722	5721211
2-76	0.526045598671297	2-76	675847	5844313
2-77	0.5158160954250339	2-77	689943	5963404
2-78	0.5220066435150233	2-78	704179	6083139
2-79	0.5213649403593538	2-79	718604	6204989
2-80	0.5248754340933112	2-80	733125	6326486
2-81	0.5212894458704515	2-81	747900	6451999
2-82	0.5223463687150838	2-82	762953	6581201
2-83	0.5257813679601389	2-83	778119	6710976
2-84	0.5229125773818512	2-84	793287	6837789
2-85	0.5181186773365545	2-85	808718	6968371
2-86	0.5233655443152649	2-86	824234	7098616
2-87	0.5724747093462177	2-87	851528	7324313
2-88	0.5677185565453722	2-88	885839	7656207
2-89	0.5689642156122603	2-89	903307	7804398
2-90	0.5639815793447078	2-90	921675	7977299
2-91	0.5661331722784236	2-91	939467	8132827
2-92	0.5647365242337309	2-92	957391	8289306
2-93	0.5677185565453722	2-93	977096	8491215
2-94	0.5736448739242035	2-94	995664	8659452
2-95	0.5703231164125019	2-95	1014139	8821436
2-96	0.5695681715234788	2-96	1032521	8978004
2-97	0.5663596557451306	2-97	1400587	12490948
2-98	0.5766269062358448	2-98	1429469	12760148
2-99	0.5682470179676884	2-99	1454811	12989556
2-100	0.565227238411596	2-100	1480907	13235002
2-101	0.569379435301223	2-101	1506680	13467813
2-102	0.5675675675675675	2-102	1533182	13716516
2-103	0.5704363581458554	2-103	1559350	13951832
2-104	0.5637173486335497	2-104	1604968	14402045
2-105	0.5700588857013438	2-105	1634712	14672338
2-106	0.5698324022346368	2-106	1663689	14933764
2-107	0.5696436660123811	2-107	1691866	15188624
2-108	0.5649630077004378	2-108	1749208	15673726
3-4	0.5272535104937339	3-4	24677	151979
3-5	0.52189340178167	3-5	29209	186889
3-6	0.5212139513815491	3-6	30975	200749
3-7	0.5210629624037445	3-7	32796	214183
3-8	0.5198550505813075	3-8	34659	226864
3-9	0.5244602144043485	3-9	36666	241373
3-10	0.5198550505813075	3-10	46052	302162
3-11	0.5232523025819115	3-11	48213	315771
3-12	0.568662237656651	3-12	50556	332481
3-13	0.519477578136796	3-13	56913	379582
3-14	0.5692284463234184	3-14	63714	416312
3-15	0.5699833912124415	3-15	66790	436919
3-16	0.5716820172127435	3-16	69879	457058
3-17	0.5707760833459158	3-17	73033	478125
3-18	0.5697946549901857	3-18	76289	499439
3-19	0.5710025668126226	3-19	79622	521646
3-20	0.5696436660123811	3-20	83079	544441
3-21	0.5706250943681112	3-21	86654	568451
3-22	0.5660954250339725	3-22	90345	593174
3-23	0.5672278423675071	3-23	94129	618983
3-24	0.5695304242790277	3-24	97996	645338
3-25	0.569870149479088	3-25	101998	672923
3-26	0.5719839951683527	3-26	106087	700941
3-27	0.5712667975237807	3-27	110328	730811
3-28	0.5755699833912125	3-28	114631	760602
3-29	0.5718330061905481	3-29	119071	791214
3-30	0.5739091046353616	3-30	123624	822734
3-31	0.5723237203684131	3-31	128283	854997
3-32	0.5684357541899442	3-32	133072	888603
3-33	0.5707760833459158	3-33	137964	923289
3-34	0.5663974029895817	3-34	142945	957725
3-35	0.5686999849011022	3-35	148030	993019
3-36	0.571795258946097	3-36	153257	1029253
3-37	0.5749660274799939	3-37	158598	1066986
3-38	0.5725879510795712	3-38	164059	1105135
3-39	0.5739845991242639	3-39	169623	1144349
3-40	0.5665106447229352	3-40	175294	1184393
3-41	0.567907292767628	3-41	211967	1502358
3-42	0.5712290502793296	3-42	218196	1546927
3-43	0.5710025668126226	3-43	224512	1591978
3-44	0.5694549297901254	3-44	230974	1638153
3-45	0.5679827872565303	3-45	237557	1685923
3-46	0.5762494337913332	3-46	244267	1734699
3-47	0.5672278423675071	3-47	251071	1783716
3-48	0.5692284463234184	3-48	258022	1834839
3-49	0.5656802053450098	3-49	265060	1886022
3-50	0.5733051487241432	3-50	272219	1938173
3-51	0.5736448739242035	3-51	279506	1991444
3-52	0.5711913030348784	3-52	286915	2045935
3-53	0.5655669636116564	3-53	294451	2101698
3-54	0.5666238864562887	3-54	302127	2158702
3-55	0.567680809300921	3-55	309932	2216450
3-56	0.566925864411898	3-56	317903	2275892
3-57	0.5690397101011626	3-57	325957	2335618
3-58	0.5686999849011022	3-58	334120	2396342
3-59	0.5695304242790277	3-59	342377	2457118
3-60	0.5673410841008606	3-60	350782	2520028
3-61	0.5670013589008003	3-61	359299	2583762
3-62	0.5708515778348181	3-62	367964	2648888
3-63	0.5700966329457949	3-63	376747	2714679
3-64	0.5749282802355428	3-64	385678	2781500
3-65	0.5718707534349993	3-65	394721	2849111
3-66	0.5808545976143742	3-66	403930	2918541
3-67	0.5690397101011626	3-67	413244	2988412
3-68	0.5666238864562887	3-68	422689	3059183
3-69	0.5716820172127435	3-69	432274	3131362
3-70	0.5626981730333686	3-70	441947	3203946
3-71	0.5708515778348181	3-71	451737	3277979
3-72	0.5704363581458554	3-72	461648	3353695
3-73	0.5634908651668428	3-73	471694	3430175
3-74	0.5682092707232372	3-74	481868	3507722
3-75	0.5748905329910916	3-75	492154	3586746
3-76	0.5714932809904877	3-76	502550	3666581
3-77	0.5732296542352409	3-77	513088	3747989
3-78	0.566925864411898	3-78	523758	3830317
3-79	0.5695304242790277	3-79	534556	3913689
3-80	0.5703231164125019	3-80	545483	3997804
3-81	0.5783255322361468	3-81	556524	4082742
3-82	0.564019326589159	3-82	567657	4168796
3-83	0.5677940510342745	3-83	578924	4255963
3-84	0.5646987769892797	3-84	590316	4344017
3-85	0.5755322361467613	3-85	601820	4434506
3-86	0.5800619054808999	3-86	613431	4526008
3-87	0.5690397101011626	3-87	625175	4618896
3-88	0.5701721274346973	3-88	637025	4712606
3-89	0.5669636116563491	3-89	648990	4807832
3-90	0.5770798731692587	3-90	661084	4904046
3-91	0.577155367658161	3-91	673293	5001398
