1-4	2697	7275
1-5	5404	19230
1-6	41176	264875
1-7	48148	331423
1-8	55377	397624
1-9	62103	462770
1-10	68829	528435
1-11	75555	593416
1-12	82281	659784
1-13	89007	723454
1-14	95733	787976
1-15	102458	854552
1-16	109184	920064
1-17	115910	984364
1-18	122636	1049130
1-19	129362	1112852
1-20	136088	1178914
1-21	142814	1245029
1-22	149540	1310733
1-23	156266	1374518
1-24	162992	1438535
1-25	169718	1502680
1-26	176443	1569947
1-27	183169	1635835
1-28	189894	1703203
1-29	196620	1766570
1-30	203346	1831687
1-31	210072	1895706
1-32	216798	1961358
1-33	223524	2025126
1-34	230250	2091132
1-35	236976	2155350
1-36	243702	2219853
1-37	250428	2285082
1-38	257154	2348035
1-39	263880	2411366
1-40	270606	2476346
1-41	277332	2543192
1-42	284058	2607631
1-43	290784	2672952
1-44	297510	2738466
1-45	304236	2802563
1-46	310962	2869958
1-47	317688	2934123
1-48	324414	3000800
1-49	331140	3064837
1-50	337866	3130203
1-51	344592	3196326
1-52	351318	3263659
1-53	358044	3328725
1-54	364770	3394559
1-55	371496	3459616
1-56	378222	3524040
1-57	384948	3589100
1-58	391674	3653297
1-59	398399	3716927
1-60	405125	3781463
1-61	411851	3846108
1-62	418577	3910600
1-63	425303	3977637
1-64	432029	4042566
1-65	438755	4106839
1-66	445481	4171367
1-67	452207	4237115
1-68	458933	4301559
1-69	465658	4365311
1-70	472384	4431679
1-71	479110	4497423
1-72	485835	4560197
1-73	492560	4623678
1-74	499286	4688206
1-75	506012	4754529
1-76	512737	4818376
1-77	519463	4883664
1-78	526189	4949850
1-79	532915	5015237
1-80	539641	5081209
1-81	546367	5147233
1-82	553092	5210566
1-83	559817	5275491
1-84	566542	5339095
1-85	573268	5404247
1-86	579993	5468398
1-87	586718	5532908
1-88	593444	5599982
1-89	600169	5663791
1-90	606894	5728032
1-91	613620	5792925
1-92	620345	5856106
1-93	627070	5919207
2-4	2251	5472
2-5	13948	70254
2-6	26984	180771
2-7	83888	648764
2-8	91737	724420
2-9	99202	796098
2-10	106667	868639
2-11	114115	940937
2-12	121563	1010368
2-13	129011	1080512
2-14	136460	1153178
2-15	143900	1223319
2-16	151341	1296187
2-17	158782	1369016
2-18	166223	1442365
2-19	173664	1514298
2-20	181105	1587850
2-21	188545	1658150
2-22	195986	1731482
2-23	203427	1803824
2-24	210867	1874701
2-25	218307	1944922
2-26	225747	2015631
2-27	233187	2086837
2-28	240627	2158003
2-29	248067	2229085
2-30	255507	2300199
2-31	262947	2369406
2-32	270387	2440385
2-33	277827	2508158
2-34	285267	2578954
2-35	292708	2651283
2-36	300149	2724353
2-37	307589	2795273
2-38	315030	2866969
2-39	322471	2939409
2-40	329912	3012803
2-41	337352	3083332
2-42	344793	3155476
2-43	352233	3226431
2-44	359673	3296954
2-45	367114	3369297
2-46	374554	3440082
2-47	381994	3510749
2-48	389434	3581823
2-49	396874	3650895
2-50	404314	3721627
2-51	411755	3794734
2-52	419195	3865739
2-53	426635	3936180
2-54	434075	4006842
2-55	441516	4078461
2-56	448956	4147592
2-57	456397	4220410
2-58	463838	4291504
2-59	471279	4362455
2-60	478720	4433604
2-61	486161	4505804
2-62	493602	4577748
2-63	501042	4647738
2-64	508483	4718685
2-65	515924	4791199
2-66	523364	4861743
2-67	530805	4933119
2-68	538246	5006044
2-69	545687	5077413
2-70	553127	5146767
2-71	560567	5217276
2-72	568008	5290662
2-73	575449	5362805
2-74	582890	5433842
2-75	590330	5504472
2-76	597770	5575370
2-77	605210	5645781
2-78	612651	5718239
2-79	620092	5790095
2-80	627533	5862065
2-81	634973	5932832
2-82	642413	6003637
2-83	649853	6074409
2-84	657294	6146222
2-85	664734	6217707
2-86	672174	6288478
2-87	679614	6358999
2-88	687054	6429193
2-89	694494	6499012
2-90	701934	6569616
2-91	709374	6638643
3-3	2267	5251
3-4	3372	9464
3-5	5949	21664
3-6	84135	602719
3-7	92602	678355
3-8	100194	751618
3-9	107786	825279
3-10	115379	895636
3-11	122972	965262
3-12	130565	1036010
3-13	138158	1107007
3-14	145751	1179665
3-15	153344	1251566
3-16	160937	1323110
3-17	168530	1394160
3-18	176123	1465110
3-19	183716	1537788
3-20	191309	1608368
3-21	198901	1678012
3-22	206494	1750859
3-23	214087	1823132
3-24	221680	1894656
3-25	229273	1966709
3-26	236866	2038331
3-27	244459	2111922
3-28	252052	2182776
3-29	259645	2253564
3-30	267238	2324905
3-31	274831	2395642
3-32	282423	2469306
3-33	290015	2543860
3-34	297608	2617112
3-35	305201	2689635
3-36	312794	2761465
3-37	320387	2833637
3-38	327980	2906680
3-39	335573	2978717
3-40	343166	3051908
3-41	350759	3124279
3-42	358351	3198627
3-43	365943	3273424
3-44	373536	3346306
3-45	381129	3417256
