1-7	21469	126715
1-8	22818	135351
1-9	24040	143105
1-10	25291	151187
1-11	26443	158470
1-12	27547	165451
1-13	28703	172705
1-14	29883	180117
1-15	31118	187956
1-16	32396	195922
1-17	33751	204682
1-18	35183	214132
1-19	36677	224053
1-20	39927	246772
1-21	41743	258967
1-22	43626	271662
1-23	45572	284871
1-24	47596	298678
1-25	49686	313164
1-26	51873	328228
1-27	54137	344229
1-28	56467	360759
1-29	58871	377896
1-30	61338	395575
1-31	63805	413242
1-32	66327	431474
1-33	68922	449983
1-34	71613	469280
1-35	74370	489153
1-36	77224	509851
1-37	80175	531167
1-38	87008	581754
1-39	97714	662260
1-40	101612	690696
1-41	105569	719909
1-42	109526	748710
1-43	113557	778031
1-44	117693	808218
1-45	121829	838332
1-46	126053	869012
1-47	130365	900087
1-48	134741	931841
1-49	139117	963622
1-50	143606	996217
1-51	184228	1308384
1-52	189445	1344002
1-53	194749	1380745
1-54	200198	1418305
1-55	205776	1456649
1-56	211354	1495250
1-57	216932	1533889
1-58	222606	1573057
1-59	228278	1612228
1-60	233950	1651270
1-61	239622	1690356
1-62	245283	1729301
1-63	251034	1769118
1-64	256785	1809035
1-65	262639	1849472
1-66	268625	1890735
1-67	274611	1932246
1-68	280683	1974385
1-69	286841	2016882
1-70	293085	2060235
1-71	299329	2103412
1-72	305704	2147746
1-73	312070	2191648
1-74	318522	2236261
1-75	324974	2281030
1-76	331539	2326437
1-77	357324	2504995
1-78	364590	2555337
1-79	371961	2606418
2-7	10233	54884
2-8	12495	69274
2-9	18805	110525
2-10	21487	128043
2-11	23314	139974
2-12	24918	150529
2-13	26331	159771
2-14	28347	173095
2-15	29661	181615
2-16	31030	190487
2-17	32442	199717
2-18	33898	209220
2-19	35417	219243
2-20	36975	229501
2-21	38582	240235
2-22	40267	251489
2-23	42026	263251
2-24	43833	275403
2-25	45701	287934
2-26	47631	300945
2-27	49656	314654
2-28	57282	366226
2-29	64944	420152
2-30	67655	438555
2-31	70445	457501
2-32	73313	477072
2-33	76259	497546
2-34	79283	518662
2-35	82385	540133
2-36	87851	579104
2-37	91512	604642
2-38	95234	630515
2-39	99034	657063
2-40	102947	684457
2-41	106972	712615
2-42	111127	741949
2-43	115413	772010
2-44	119791	802897
2-45	136123	916413
2-46	141182	951988
2-47	146241	987526
2-48	151431	1024025
2-49	156716	1061182
2-50	162149	1099493
2-51	167713	1138645
2-52	173277	1177916
2-53	178841	1217367
2-54	184519	1257648
2-55	190293	1298623
2-56	196067	1339546
2-57	201955	1381115
2-58	207904	1423257
2-59	214001	1466519
2-60	220212	1510432
2-61	226423	1554156
2-62	232634	1598159
2-63	238923	1642552
2-64	245212	1687027
2-65	251597	1732089
2-66	292879	2027164
2-67	299790	2076216
2-68	306701	2125379
2-69	313708	2175288
2-70	320715	2225304
2-71	327722	2275058
2-72	334807	2325695
2-73	341892	2376224
2-74	354300	2467328
2-75	361936	2522173
2-76	369572	2576932
2-77	377208	2631315
2-78	384844	2686093
2-79	392628	2741820
2-80	400412	2797589
2-81	408275	2853963
2-82	416303	2911408
3-7	5899	26564
3-8	11090	58970
3-9	17563	100212
3-10	21706	126632
3-11	23992	140951
3-12	25928	153158
3-13	27712	164247
3-14	29002	172079
3-15	30322	180103
3-16	31696	188321
3-17	33134	197062
3-18	34623	206187
3-19	36147	215913
3-20	37682	225762
3-21	39259	235932
3-22	40889	246501
3-23	42504	256876
3-24	44166	267731
3-25	45876	278653
3-26	47647	290155
3-27	49463	301747
3-28	51339	313894
3-29	53276	326436
3-30	55273	339631
3-31	57331	353200
3-32	59449	367220
3-33	61628	381589
3-34	63867	396453
3-35	66167	411700
3-36	68527	427484
3-37	70948	443768
3-38	73429	460537
3-39	75971	477582
3-40	78573	495102
3-41	81236	513003
3-42	83959	531242
3-43	86682	549650
3-44	89466	568400
3-45	92310	587408
3-46	95215	606802
3-47	98180	626795
3-48	101206	647228
3-49	104292	668234
3-50	107439	689707
3-51	110646	711481
3-52	113853	733320
3-53	117121	755541
3-54	120449	778398
3-55	123838	801506
3-56	127287	825138
3-57	130797	849192
3-58	134307	873231
3-59	149012	974186
3-60	153064	1001689
3-61	157177	1029596
3-62	161290	1057714
3-63	165481	1086143
3-64	169732	1115055
3-65	173983	1144274
3-66	178234	1173118
3-67	182485	1202172
3-68	186736	1231091
3-69	190987	1260173
3-70	195238	1289153
3-71	199567	1318842
3-72	229023	1519742
3-73	235451	1563281
3-74	240479	1597558
3-75	245602	1632162
3-76	250786	1667293
3-77	255970	1702475
3-78	261154	1737880
3-79	266338	1773001
3-80	271522	1808272
3-81	276801	1844252
3-82	282141	1880652
3-83	287481	1917129
3-84	292821	1953537
4-7	22432	136816
4-8	23694	145016
4-9	24644	151104
4-10	25654	157653
4-11	26643	164085
4-12	27658	170681
4-13	28732	177509
4-14	29856	184781
4-15	31010	192264
4-16	32209	200022
4-17	33460	208116
4-18	34763	216574
4-19	36117	225443
4-20	37521	234599
4-21	38986	244231
4-22	40499	254237
4-23	42073	264625
4-24	43707	275345
4-25	45402	286560
4-26	47157	298103
4-27	48973	310017
4-28	50849	322381
4-29	52786	335296
4-30	54783	348753
4-31	56841	362666
4-32	64765	418853
4-33	67339	436607
4-34	69991	454997
4-35	74594	487605
4-36	78453	514854
4-37	82244	541925
4-38	86093	569145
4-39	88917	588837
4-40	91802	608917
4-41	94749	629499
4-42	97756	650610
4-43	100763	671705
4-44	103770	692813
4-45	106777	713743
4-46	109784	734950
4-47	113584	761791
4-48	116702	783733
4-49	119880	805846
4-50	123119	828602
4-51	126419	851577
4-52	129719	874722
4-53	133080	898301
4-54	136501	922283
4-55	151097	1027359
4-56	155127	1055459
4-57	159235	1083877
4-58	167876	1143234
4-59	172744	1176597
4-60	177708	1210482
4-61	182672	1244443
4-62	187980	1281013
4-63	193354	1318141
4-64	198728	1355049
4-65	204102	1392206
4-66	209589	1429995
4-67	215172	1468572
4-68	232410	1590305
4-69	238246	1630592
4-70	244082	1670677
4-71	250013	1711511
4-72	256320	1755295
4-73	262583	1798787
4-74	268846	1842168
4-75	275109	1885619
4-76	281467	1929946
