1-1	500	500
1-2	1001	1557
1-3	12041	46201
1-4	20610	90675
1-5	24434	109045
1-6	29109	133019
1-7	31141	142577
1-8	33245	152247
1-9	35293	161662
1-10	37462	171773
1-11	39751	182411
1-12	42160	193429
1-13	44690	205371
1-14	47340	217992
1-15	50099	231435
1-16	52847	244754
1-17	55714	258440
1-18	58701	272820
1-19	61807	287838
1-20	65033	303551
1-21	68350	320006
1-22	71771	336979
1-23	75325	354722
1-24	78845	372077
1-25	82488	390259
1-26	86255	409008
1-27	90129	428534
1-28	94109	448829
1-29	98229	469644
1-30	102454	491121
1-31	106801	513597
1-32	111290	536571
1-33	115882	560209
1-34	120601	584358
1-35	125464	608996
1-36	130450	634733
1-37	135517	660883
1-38	140713	688003
1-39	145887	714782
1-40	151145	742315
1-41	156525	770210
1-42	162004	798818
1-43	167580	828246
1-44	173277	858084
1-45	179095	888650
1-46	184913	919382
1-47	190827	950994
1-48	196741	982616
1-49	202629	1014240
1-50	208611	1046216
1-51	214686	1078806
1-52	220735	1111259
1-53	226810	1144300
1-54	232935	1177203
1-55	239107	1210026
1-56	245252	1243069
1-57	251457	1279146
1-58	257578	1314544
1-59	263813	1351123
1-60	270077	1387209
1-61	276426	1424592
1-62	282860	1462712
1-63	289392	1503066
1-64	295894	1543323
1-65	302509	1584460
1-66	309237	1625964
1-67	316078	1668534
1-68	323000	1711368
1-69	330051	1755282
1-70	337070	1799477
1-71	344089	1843631
1-72	351238	1888620
1-73	358354	1933786
1-74	365470	1978685
1-75	372732	2024274
1-76	379994	2070379
1-77	387222	2115210
2-1	500	500
2-2	1001	1554
2-3	17967	76632
2-4	23722	105358
2-5	25179	111728
2-6	26616	117865
2-7	28150	124596
2-8	29801	131883
2-9	31562	139582
2-10	33433	148062
2-11	35405	156790
2-12	37486	166228
2-13	39677	176127
2-14	41988	186577
2-15	44409	197770
2-16	46940	209610
2-17	49581	222112
2-18	52332	235046
2-19	55193	248567
2-20	58164	262761
2-21	61135	277048
2-22	64106	291435
2-23	67187	306477
2-24	70363	322100
2-25	73554	337719
2-26	76745	353279
2-27	80046	369383
2-28	83441	386081
2-29	86946	403860
2-30	97359	459358
2-31	101424	479752
2-32	105581	500636
2-33	109847	522375
2-34	114242	544386
2-35	118743	567333
2-36	123352	590711
2-37	128045	614428
2-38	132738	638509
2-39	137554	663170
2-40	142493	688442
2-41	147411	713401
2-42	152329	738565
2-43	157247	763569
2-44	162272	789338
2-45	167404	815378
2-46	172514	841841
2-47	177646	868525
2-48	182840	896328
2-49	188133	924436
2-50	193547	953771
2-51	198961	983144
2-52	204375	1012320
2-53	209836	1041270
2-54	215273	1070114
2-55	220760	1099362
2-56	226440	1130090
2-57	232047	1159892
2-58	237724	1190357
2-59	243426	1220918
2-60	249202	1252376
2-61	255055	1284221
2-62	260882	1316530
2-63	266854	1349286
2-64	272879	1382347
2-65	278877	1415020
2-66	284875	1447456
2-67	290820	1479295
2-68	296765	1511860
2-69	302710	1544648
2-70	308681	1577525
2-71	314728	1610573
2-72	320775	1644171
2-73	326885	1677388
2-74	332968	1710724
2-75	338996	1744311
2-76	345128	1778021
2-77	351232	1811468
3-1	500	500
3-2	1001	1562
3-3	8661	31829
3-4	17935	76717
3-5	23312	104390
3-6	24944	111876
3-7	26492	118814
3-8	28150	126356
3-9	29919	134291
3-10	31798	142969
3-11	33788	152140
3-12	35888	162099
3-13	38089	172722
3-14	40410	183947
3-15	42820	195827
3-16	45362	208430
3-17	48003	221482
3-18	50644	234555
3-19	53395	248191
3-20	56146	261704
3-21	59007	275807
3-22	61978	290455
3-23	64949	305178
3-24	68016	320455
3-25	71192	336550
3-26	74478	353475
3-27	77873	370950
3-28	81362	389049
3-29	84851	407392
3-30	88449	426227
3-31	92047	445243
3-32	95754	464876
3-33	99570	484985
3-34	103495	505862
3-35	107529	527347
3-36	111563	549002
3-37	115706	571108
3-38	119830	593479
3-39	124062	616879
3-40	128383	640868
3-41	132704	664938
3-42	136965	688354
3-43	141286	712200
3-44	145653	736153
3-45	149979	760167
3-46	154285	784450
3-47	158570	808298
3-48	162960	832601
3-49	167454	857541
3-50	171948	883043
3-51	176547	909695
3-52	181228	936373
3-53	185909	963159
3-54	190590	990082
3-55	195226	1016634
3-56	199862	1043384
3-57	204601	1070933
3-58	209443	1099254
3-59	214261	1126967
3-60	219158	1155554
3-61	224055	1184046
3-62	229029	1213130
3-63	234055	1243221
3-64	239181	1273863
3-65	244356	1304437
3-66	249531	1335663
3-67	254779	1367616
3-68	260072	1399791
3-69	265463	1433170
3-70	270924	1468218
3-71	276511	1503868
3-72	282098	1539724
3-73	287783	1576708
3-74	293468	1613125
3-75	299153	1649871
3-76	304936	1687035
3-77	310787	1725200
3-78	316638	1762979
4-1	500	500
4-2	1001	1501
4-3	3962	11296
4-4	10704	39983
4-5	20924	91578
4-6	24987	112455
4-7	26542	119389
4-8	28208	126741
4-9	29985	134621
4-10	31873	143132
4-11	33872	152036
4-12	35982	161638
4-13	38193	171603
4-14	40525	182311
4-15	42957	193514
4-16	45378	204594
4-17	47909	216342
4-18	50550	228741
4-19	53288	241319
4-20	56136	254585
4-21	59080	268641
4-22	62133	283453
4-23	65280	298493
4-24	68521	313921
4-25	71870	330468
4-26	75327	347465
4-27	78892	365181
4-28	82565	383616
4-29	86346	402666
4-30	90235	422310
4-31	94213	442899
4-32	98299	464160
4-33	102492	485682
4-34	106705	507455
4-35	111026	529935
4-36	115434	552923
4-37	119950	577338
4-38	124573	602530
4-39	129282	628213
4-40	134053	654125
4-41	138930	680684
4-42	143913	708279
4-43	148978	736426
4-44	154124	765457
4-45	159294	794446
4-46	164570	824056
4-47	169951	854233
4-48	175307	884420
4-49	180716	915109
4-50	186335	947543
4-51	192087	979843
4-52	197812	1012179
4-53	203588	1044536
4-54	209497	1077670
4-55	215511	1111499
4-56	221544	1145774
4-57	227651	1180400
4-58	233729	1215412
4-59	239880	1250819
4-60	246031	1286091
4-61	252152	1320893
4-62	258213	1356362
4-63	264436	1391674
4-64	270761	1427713
4-65	277188	1464772
4-66	283621	1502141
4-67	290122	1539760
4-68	296690	1577681
4-69	316154	1722931
4-70	323581	1767398
4-71	330974	1812215
4-72	338448	1856811
4-73	345888	1901875
4-74	353396	1947171
4-75	360802	1992289
4-76	368321	2037818
4-77	375953	2084530
5-1	500	500
5-2	1001	1559
5-3	1542	3135
5-4	7470	26179
5-5	20050	86491
5-6	26303	119021
5-7	28236	127756
5-8	29777	134752
5-9	31420	142070
5-10	33063	149481
5-11	34816	157388
5-12	36561	165248
5-13	38406	173679
5-14	40360	182697
5-15	42432	192218
5-16	44504	201709
5-17	46685	211718
5-18	48975	222268
5-19	51374	233513
5-20	53882	245302
5-21	56390	257076
5-22	59007	269476
5-23	61733	282371
5-24	64555	295670
5-25	67485	309678
5-26	70524	324399
5-27	73549	339101
5-28	76682	354304
5-29	79815	369448
5-30	82948	384679
5-31	86189	400605
5-32	89538	416885
5-33	92995	433949
5-34	96452	451017
5-35	100017	468812
5-36	103690	487405
5-37	107471	506624
5-38	111252	525837
5-39	115141	545564
5-40	119030	565181
5-41	122919	584979
5-42	126916	605387
5-43	131021	626500
5-44	135234	647941
5-45	139447	669552
5-46	143768	691978
5-47	148197	715208
5-48	152626	738182
5-49	157163	761841
5-50	161808	786091
5-51	166453	810405
5-52	171098	834514
5-53	175851	859415
5-54	180604	884288
5-55	185465	909492
5-56	190303	934828
5-57	195249	960602
5-58	200172	986521
5-59	205202	1012840
5-60	210387	1039969
5-61	215631	1067391
5-62	220957	1095706
5-63	226364	1124711
5-64	231903	1154431
5-65	237469	1183984
5-66	243008	1213940
5-67	248521	1243713
5-68	254060	1273776
5-69	259623	1303837
5-70	265213	1333697
5-71	270749	1363345
5-72	276231	1392870
5-73	281740	1422688
5-74	287241	1452542
5-75	292870	1482858
5-76	298499	1513482
5-77	304100	1544015
5-78	309829	1574970
5-79	315630	1606753
6-1	500	500
6-2	1001	1556
6-3	1512	3023
6-4	16356	69857
6-5	21829	97909
6-6	23384	105053
6-7	24854	111562
6-8	26437	118689
6-9	27999	125681
6-10	29672	133151
6-11	31433	141119
6-12	33304	149810
6-13	35276	158969
6-14	37357	168689
6-15	39548	178926
6-16	41838	189921
6-17	44237	201395
6-18	46756	213648
6-19	49385	226147
6-20	52111	239485
6-21	54946	253438
6-22	57876	268010
6-23	60915	283235
6-24	64077	298994
6-25	67348	315560
6-26	70728	332508
6-27	74185	350257
6-28	77750	368619
6-29	81406	387403
6-30	85152	406815
6-31	88950	426402
6-32	92731	445562
6-33	96620	465714
6-34	100617	486725
6-35	104703	508217
6-36	108896	530197
6-37	113177	553260
6-38	117565	576720
6-39	122060	600814
6-40	126662	625518
6-41	131349	650769
6-42	136120	676373
6-43	141020	702935
6-44	146003	730029
6-45	151116	758154
6-46	156311	787050
6-47	161587	815840
6-48	166943	844653
6-49	172430	874646
6-50	177996	905888
6-51	183721	937862
6-52	189446	969886
6-53	195277	1002535
6-54	201214	1036414
6-55	207257	1070477
6-56	213464	1105800
6-57	219719	1141801
6-58	225974	1177938
6-59	232395	1215220
6-60	238892	1252755
6-61	245496	1291517
6-62	252206	1331076
6-63	258916	1369953
6-64	265733	1409391
6-65	272689	1450222
6-66	279645	1490405
6-67	286642	1531646
6-68	293745	1573696
6-69	300920	1616149
6-70	308235	1659835
6-71	315656	1703855
6-72	323147	1748964
6-73	330674	1794200
6-74	338343	1840495
6-75	346045	1886899
6-76	353747	1932944
6-77	361413	1979396
7-1	500	500
7-2	1501	3004
7-3	13412	52542
7-4	22505	100022
7-5	23831	105826
7-6	25290	112177
7-7	26645	118108
7-8	30947	136158
7-9	33137	145715
7-10	35266	154872
7-11	37521	164896
7-12	39776	174770
7-13	42157	185323
