1-11	137590	1054712
1-12	189359	1498689
1-13	238070	1930367
1-14	263411	2157426
1-15	294719	2439950
1-16	324659	2709467
1-17	351945	2945542
1-18	366407	3072904
1-19	430021	3635992
1-20	436820	3692078
1-21	451252	3818382
1-22	474894	4014159
1-23	505860	4280492
1-24	525347	4442973
1-25	554779	4696553
1-26	605105	5142957
1-27	647910	5519456
1-28	698463	5966031
1-29	746276	6386297
1-30	778671	6658947
1-31	818100	6993854
1-32	853050	7289761
1-33	889135	7595575
1-34	926326	7911780
1-35	951212	8116650
1-36	976882	8328804
1-37	1002964	8544446
1-38	1029830	8766632
1-39	1057481	8997209
1-40	1085916	9232762
1-41	1114742	9471940
1-42	1144352	9718623
2-6	74876	563523
2-7	102055	800318
2-8	138750	1128114
2-9	168560	1401914
2-10	185700	1558948
2-11	208508	1771104
2-12	230567	1978284
2-13	241671	2078114
2-14	260785	2255118
2-15	281727	2448121
2-16	290529	2526458
2-17	311370	2710406
2-18	325906	2841536
2-19	330331	2879529
2-20	343057	2994923
2-21	347969	3037022
2-22	353008	3080076
2-23	358248	3125197
2-24	363690	3172518
2-25	383375	3353278
2-26	408852	3588809
2-27	425188	3739573
2-28	437083	3846146
2-29	443906	3906751
2-30	450721	3967022
2-31	457743	4028576
2-32	464971	4092528
2-33	472406	4158270
2-34	480047	4226534
2-35	501024	4422217
2-36	529694	4692524
2-37	552299	4905071
2-38	560951	4983308
3-12	250163	2098790
3-13	269532	2258069
3-14	296016	2480259
3-15	327682	2750764
3-16	346426	2911723
3-17	366551	3074463
3-18	394340	3295861
3-19	411101	3432030
3-20	435767	3631648
3-21	465933	3876810
3-22	478391	3985355
3-23	484312	4033724
3-24	489503	4078236
3-25	494834	4123572
3-26	500370	4170775
3-27	506111	4220556
3-28	512057	4272362
3-29	518208	4325999
3-30	540560	4531655
3-31	563730	4745823
3-32	582080	4914117
3-33	607004	5144483
3-34	620854	5270524
3-35	641312	5458903
3-36	662722	5646372
3-37	691627	5890240
3-38	714349	6083010
3-39	723213	6161858
3-40	732299	6243286
3-41	741585	6326987
3-42	751048	6412226
4-10	134839	1092486
4-11	181841	1521685
4-12	228850	1956735
4-13	254704	2192138
4-14	276821	2396361
4-15	291385	2529531
4-16	312466	2716209
4-17	329488	2866856
4-18	346917	3021148
4-19	369559	3222120
4-20	390469	3410081
4-21	401833	3512153
4-22	406330	3550371
4-23	422699	3698099
4-24	440054	3856004
4-25	449653	3942075
4-26	459675	4027431
4-27	465304	4076221
4-28	471134	4126346
4-29	477165	4178759
4-30	483397	4232908
4-31	489830	4288951
4-32	496464	4346091
4-33	503299	4405388
4-34	510335	4466366
4-35	517572	4529467
4-36	525010	4594101
4-37	532649	4660709
4-38	547300	4792801
4-39	555422	4863922
4-40	563727	4936813
4-41	586410	5147842
4-42	617290	5435979
4-43	641562	5661696
5-10	117261	962777
5-11	163416	1384382
5-12	208052	1800693
5-13	233373	2041015
5-14	261664	2311522
5-15	288001	2564078
5-16	311606	2782797
5-17	325944	2914664
5-18	347168	3110752
5-19	383574	3441858
5-20	403862	3621111
5-21	414694	3708250
5-22	422174	3764009
5-23	430002	3822041
5-24	438203	3883349
5-25	446764	3947743
5-26	455686	4014792
5-27	478781	4219085
5-28	507795	4479382
5-29	528023	4654038
5-30	559765	4946106
5-31	592883	5243593
5-32	615730	5442681
5-33	627605	5534378
5-34	639859	5629339
5-35	730145	6378695
5-36	750037	6547450
5-37	763437	6652187
5-38	777226	6760855
5-39	791405	6872565
6-11	142049	1106351
6-12	199543	1609404
6-13	247285	2033352
6-14	274107	2265651
6-15	308903	2570725
6-16	341829	2859777
6-17	368603	3087192
6-18	384765	3224193
6-19	408560	3429389
6-20	441282	3712200
6-21	460787	3880927
6-22	514608	4354506
6-23	527651	4468086
6-24	545700	4625949
6-25	569342	4833714
6-26	603822	5139515
6-27	640345	5462320
6-28	657011	5608031
6-29	679884	5809485
6-30	704621	6028023
6-31	718118	6144396
6-32	731367	6258728
6-33	765006	6518478
6-34	800419	6808162
6-35	849502	7220326
6-36	885016	7521883
6-37	934265	7937491
6-38	985534	8370964
6-39	1030877	8753377
6-40	1071706	9097539
6-41	1110536	9425337
6-42	1150316	9761090
6-43	1208480	10257341
7-10	114032	731748
7-11	165426	1095596
7-12	212757	1436971
7-13	241676	1655468
7-14	269749	1866534
7-15	305470	2127722
7-16	329092	2323395
7-17	343439	2440768
7-18	364653	2617334
7-19	397318	2883003
7-20	411753	3002260
7-21	423434	3096441
7-22	451053	3330299
7-23	480376	3581298
7-24	494120	3694184
7-25	499869	3737036
7-26	510523	3821015
7-27	520007	3893383
7-28	529866	3968538
7-29	540572	4049178
