1-5	5015	14921
1-6	57704	232833
1-7	60187	243168
1-8	65797	266726
1-9	70707	287070
1-10	77214	314268
1-11	85160	347744
1-12	89227	364811
1-13	93546	383139
1-14	102791	423830
1-15	123155	511687
1-16	129017	537150
1-17	134924	563043
1-18	141467	591509
1-19	158855	669724
1-20	178105	757824
1-21	194702	832605
1-22	213236	916777
1-23	223078	961931
1-24	233112	1008053
1-25	243149	1054413
1-26	253551	1102384
1-27	264137	1151439
1-28	274997	1201888
1-29	286085	1254352
1-30	297385	1308166
1-31	308989	1363109
1-32	320829	1419218
1-33	332985	1476958
1-34	345487	1536315
1-35	358207	1596588
1-36	371153	1658021
1-37	384455	1721440
1-38	398047	1785943
1-39	412032	1852490
1-40	426149	1920199
1-41	440225	1987814
1-42	454601	2057256
1-43	469318	2127830
1-44	484419	2200657
1-45	499817	2275002
1-46	515544	2351017
1-47	536709	2452581
1-48	554210	2536602
1-49	571861	2621249
1-50	589356	2705162
1-51	620550	2855891
1-52	639106	2945494
1-53	659140	3041960
1-54	679038	3137785
1-55	698855	3232871
1-56	719027	3330185
1-57	739615	3429550
1-58	760037	3528129
1-59	780457	3626957
1-60	831794	3871323
1-61	857594	3995701
1-62	880732	4108101
1-63	920338	4307647
1-64	951073	4456223
1-65	979278	4591733
1-66	1011800	4749146
1-67	1044584	4907098
1-68	1079844	5077932
1-69	1114669	5246226
1-70	1149795	5415956
1-71	1191041	5617520
1-72	1228540	5799484
1-73	1262747	5963729
1-74	1296954	6128041
1-75	1331747	6295009
1-76	1366540	6462113
1-77	1401824	6633064
1-78	1436062	6798449
1-79	1473412	6979950
1-80	1511262	7162996
1-81	1549184	7347618
1-82	1585109	7521514
1-83	1620960	7695479
1-84	1660016	7885640
1-85	1696835	8064160
1-86	1736314	8256438
1-87	1776271	8451278
1-88	1816228	8645231
1-89	1876674	8937650
1-90	1920515	9149814
1-91	1964885	9364991
1-92	2009215	9580335
1-93	2053505	9795292
1-94	2098429	10012599
1-95	2143352	10230661
1-96	2188764	10451362
1-97	2305822	11023534
1-98	2358942	11282482
1-99	2537263	12146625
1-100	2601277	12456502
1-101	2656882	12725903
1-102	2713170	12998772
1-103	2836020	13595491
1-104	2898270	13897724
1-105	2982876	14311609
1-106	3043568	14606376
2-7	5773	16715
2-8	13551	47531
2-9	42687	176490
2-10	65494	280231
2-11	78978	339586
2-12	97087	423402
2-13	116361	507106
2-14	122088	532371
2-15	127979	558622
2-16	134066	585796
2-17	140377	614013
2-18	146817	642621
2-19	153483	672322
2-20	160336	702989
2-21	167225	733811
2-22	178690	787248
2-23	186583	823281
2-24	194714	860221
2-25	203061	898070
2-26	217198	965089
2-27	231864	1034893
2-28	248992	1111204
2-29	259735	1160729
2-30	270675	1211419
2-31	281910	1263512
2-32	293404	1316962
2-33	305080	1372314
2-34	317593	1431909
2-35	330322	1492149
2-36	342950	1551898
2-37	356004	1613927
2-38	369322	1677300
2-39	382913	1742468
2-40	396722	1808956
2-41	410845	1877468
2-42	430471	1969375
2-43	446332	2044887
2-44	462476	2122038
2-45	478975	2200860
2-46	495820	2281776
2-47	523548	2419243
2-48	551144	2547387
2-49	573400	2654729
2-50	596133	2764530
2-51	625726	2907098
2-52	650217	3026114
2-53	674399	3143566
2-54	714612	3341234
2-55	752382	3530838
2-56	803975	3786094
2-57	833006	3928262
2-58	869897	4110277
2-59	915694	4338639
2-60	950487	4510717
2-61	985900	4686784
2-62	1021897	4865959
2-63	1057890	5045061
2-64	1094482	5227433
2-65	1131772	5413002
2-66	1169029	5598061
2-67	1206820	5786345
2-68	1245144	5977247
2-69	1289559	6200872
2-70	1331315	6410044
2-71	1373858	6623365
2-72	1416400	6836951
2-73	1459512	7054047
2-74	1503235	7273421
2-75	1547613	7497014
2-76	1592596	7723606
2-77	1697455	8257558
2-78	1746014	8504614
2-79	1806695	8814690
2-80	1861947	9096379
2-81	1918003	9383077
2-82	1988154	9741858
2-83	2055072	10080167
2-84	2137488	10487043
2-85	2210221	10862279
2-86	2276771	11203009
2-87	2345837	11555826
2-88	2414129	11905189
2-89	2483270	12258124
2-90	2553260	12616090
2-91	2623248	12974365
2-92	2694177	13337547
2-93	2765103	13700243
2-94	2836972	14068908
2-95	2920966	14503078
2-96	3004587	14936473
2-97	3085243	15353060
2-98	3266868	16302335
2-99	3351698	16742924
2-100	3436522	17184006
2-101	3522290	17629631
2-102	3608058	18076101
2-103	3693826	18521599
2-104	3780593	18973094
2-105	3868358	19432522
2-106	3956123	19890851
2-107	4044929	20355261
2-108	4134488	20824754
2-109	4224756	21305224
2-110	4315873	21790374
2-111	4406990	22275813
2-112	4498107	22760736
2-113	4589932	23250466
2-114	4681761	23739687
2-115	4774576	24234643
2-116	4868099	24733234
3-8	99571	401360
3-9	103420	417186
