1-11	0.18466666666666667	1-11	51477	341218
1-12	0.5813333333333334	1-12	241341	1700091
1-13	0.6553333333333333	1-13	245349	1729578
1-14	0.6705	1-14	250350	1767587
1-15	0.6628333333333334	1-15	255620	1807986
1-16	0.6658333333333334	1-16	260586	1845298
1-17	0.6656666666666666	1-17	265866	1884602
1-18	0.6651666666666667	1-18	271453	1926707
1-19	0.667	1-19	277206	1969709
1-20	0.6585	1-20	282698	2009924
1-21	0.6683333333333333	1-21	288446	2052622
1-22	0.6641666666666667	1-22	294230	2095028
1-23	0.6606666666666666	1-23	300061	2137291
1-24	0.6663333333333333	1-24	306169	2181973
1-25	0.6633333333333333	1-25	312480	2228108
1-26	0.6743333333333333	1-26	319162	2276875
1-27	0.6698333333333333	1-27	326101	2327731
1-28	0.6678333333333333	1-28	333340	2380495
1-29	0.6695	1-29	340880	2435566
1-30	0.6661666666666667	1-30	348720	2492747
1-31	0.6658333333333334	1-31	356825	2551195
1-32	0.6745	1-32	365211	2611985
1-33	0.6611666666666667	1-33	373816	2674707
1-34	0.6735	1-34	382599	2738700
1-35	0.6691666666666667	1-35	391682	2805937
1-36	0.6686666666666666	1-36	400984	2875500
1-37	0.6751666666666667	1-37	410586	2947883
1-38	0.6815	1-38	420452	3021611
1-39	0.6681666666666667	1-39	430561	3097267
1-40	0.6646666666666666	1-40	440929	3174952
1-41	0.6638333333333334	1-41	462387	3360981
1-42	0.6706666666666666	1-42	473528	3445204
1-43	0.6645	1-43	499166	3612548
1-44	0.6771666666666667	1-44	511631	3705736
1-45	0.6763333333333333	1-45	524355	3800800
1-46	0.6568333333333334	1-46	537322	3897655
1-47	0.665	1-47	550494	3996101
2-4	0.666	2-4	94059	621925
2-5	0.6733333333333333	2-5	95847	633181
2-6	0.6678333333333333	2-6	98258	647420
2-7	0.6625	2-7	100170	660433
2-8	0.6576666666666666	2-8	102289	674818
2-9	0.6703333333333333	2-9	104580	690532
2-10	0.6713333333333333	2-10	107039	707679
2-11	0.6683333333333333	2-11	109724	726327
2-12	0.6771666666666667	2-12	112584	746415
2-13	0.6666666666666666	2-13	115660	768034
2-14	0.665	2-14	118932	791133
2-15	0.6726666666666666	2-15	122416	815916
2-16	0.6713333333333333	2-16	126121	842316
2-17	0.6785	2-17	129999	870031
2-18	0.6653333333333333	2-18	134061	899063
2-19	0.6751666666666667	2-19	138307	929607
2-20	0.6601666666666667	2-20	142773	962082
2-21	0.6611666666666667	2-21	147422	996005
2-22	0.6756666666666666	2-22	152224	1030909
2-23	0.6666666666666666	2-23	157231	1067278
2-24	0.6771666666666667	2-24	162455	1105286
2-25	0.6703333333333333	2-25	182489	1278473
2-26	0.6716666666666666	2-26	188537	1323842
2-27	0.6693333333333333	2-27	203572	1434437
2-28	0.6778333333333333	2-28	210226	1485038
2-29	0.671	2-29	222912	1590416
2-30	0.668	2-30	230411	1648289
2-31	0.6568333333333334	2-31	238133	1707956
2-32	0.6676666666666666	2-32	246044	1768864
2-33	0.6736666666666666	2-33	254132	1831086
2-34	0.678	2-34	262461	1894754
2-35	0.6721666666666667	2-35	271011	1960919
2-36	0.67	2-36	279768	2028627
2-37	0.672	2-37	288729	2097410
2-38	0.673	2-38	297959	2168647
2-39	0.6673333333333333	2-39	308690	2246147
2-40	0.6761666666666667	2-40	319681	2326391
2-41	0.6771666666666667	2-41	330932	2408299
2-42	0.6705	2-42	342461	2492243
2-43	0.674	2-43	354252	2578013
2-44	0.6745	2-44	366299	2665887
2-45	0.6781666666666667	2-45	378568	2755609
2-46	0.68	2-46	391497	2850402
2-47	0.6696666666666666	2-47	404668	2946148
2-48	0.6768333333333333	2-48	418149	3044539
2-49	0.666	2-49	431375	3140802
2-50	0.6635	2-50	444900	3239914
2-51	0.6666666666666666	2-51	458643	3340756
2-52	0.6655	2-52	472685	3443791
2-53	0.674	2-53	486954	3548480
2-54	0.6768333333333333	2-54	501483	3655243
2-55	0.6576666666666666	2-55	516311	3764018
2-56	0.6666666666666666	2-56	539359	3921561
3-6	0.6516666666666666	3-6	88877	696010
3-7	0.6583333333333333	3-7	92018	722278
3-8	0.6641666666666667	3-8	95823	754830
3-9	0.666	3-9	98720	778639
3-10	0.6676666666666666	3-10	101864	804753
3-11	0.6593333333333333	3-11	105196	832693
3-12	0.6691666666666667	3-12	111331	884366
3-13	0.6668333333333333	3-13	115029	915697
3-14	0.6623333333333333	3-14	118741	947108
3-15	0.6706666666666666	3-15	122523	979010
3-16	0.6685	3-16	126526	1012905
3-17	0.6765	3-17	130751	1048824
3-18	0.6668333333333333	3-18	135112	1086165
3-19	0.6755	3-19	139680	1125327
3-20	0.6703333333333333	3-20	145475	1176376
3-21	0.37033333333333335	3-21	151069	1225103
3-22	0.37483333333333335	3-22	156827	1276001
3-23	0.3626666666666667	3-23	162396	1324619
3-24	0.37316666666666665	3-24	168076	1373693
3-25	0.37766666666666665	3-25	173974	1425165
3-26	0.38116666666666665	3-26	179990	1477535
3-27	0.669	3-27	186111	1530524
3-28	0.6686666666666666	3-28	192417	1585309
3-29	0.6795	3-29	198704	1639556
3-30	0.6703333333333333	3-30	205206	1695882
3-31	0.6776666666666666	3-31	211925	1754177
3-32	0.6735	3-32	218838	1814370
3-33	0.6603333333333333	3-33	225907	1876155
3-34	0.6726666666666666	3-34	233110	1939294
3-35	0.6778333333333333	3-35	240498	2004057
3-36	0.678	3-36	248080	2070815
3-37	0.6721666666666667	3-37	255854	2138966
3-38	0.0	3-38	263820	2209325
3-39	0.6713333333333333	3-39	271940	2281358
3-40	0.671	3-40	280143	2354388
3-41	0.6691666666666667	3-41	288551	2428887
3-42	0.6636666666666666	3-42	297187	2505623
3-43	0.6755	3-43	305988	2583646
3-44	0.6691666666666667	3-44	326632	2781417
3-45	0.668	3-45	336103	2865910
3-46	0.6675	3-46	345756	2951730
3-47	0.6708333333333333	3-47	355706	3040124
3-48	0.668	3-48	365898	3131184
3-49	0.6746666666666666	3-49	376298	3223739
3-50	0.6711666666666667	3-50	386852	3317922
3-51	0.6673333333333333	3-51	397664	3414620
3-52	0.6771666666666667	3-52	408680	3513350
3-53	0.6726666666666666	3-53	419874	3613687
3-54	0.6778333333333333	3-54	431254	3715441
3-55	0.6698333333333333	3-55	442820	3818964
3-56	0.681	3-56	454573	3924508
3-57	0.669	3-57	466472	4031284
3-58	0.6631666666666667	3-58	510063	4437400
3-59	0.673	3-59	522770	4551374
3-60	0.6765	3-60	535591	4666935
3-61	0.6661666666666667	3-61	548684	4785060
3-62	0.671	3-62	561962	4904880
3-63	0.6698333333333333	3-63	575113	5023178
3-64	0.6775	3-64	588565	5144183
3-65	0.6721666666666667	3-65	602158	5265905
3-66	0.6736666666666666	3-66	615953	5390072
3-67	0.6676666666666666	3-67	629892	5515020
3-68	0.67	3-68	644011	5642470
3-69	0.6761666666666667	3-69	658349	5771382
3-70	0.6621666666666667	3-70	672953	5903010
3-71	0.6656666666666666	3-71	687735	6036880
3-72	0.6673333333333333	3-72	702761	6172243
3-73	0.6633333333333333	3-73	717987	6308915
3-74	0.6703333333333333	3-74	733457	6448185
3-75	0.665	3-75	749274	6590462
4-8	0.6131666666666666	4-8	158450	1106949
4-9	0.625	4-9	163510	1138313
4-10	0.6631666666666667	4-10	166122	1156687
4-11	0.66	4-11	168949	1176270
4-12	0.6791666666666667	4-12	172005	1197748
4-13	0.65	4-13	175229	1220745
4-14	0.665	4-14	178666	1245292
4-15	0.6715	4-15	182295	1271284
4-16	0.6756666666666666	4-16	186076	1298337
4-17	0.6711666666666667	4-17	189936	1325817
4-18	0.6688333333333333	4-18	193966	1354887
4-19	0.6661666666666667	4-19	205155	1448630
4-20	0.6701666666666667	4-20	210829	1492439
4-21	0.6673333333333333	4-21	215874	1530325
4-22	0.6605	4-22	221143	1569871
4-23	0.673	4-23	226638	1611014
4-24	0.6793333333333333	4-24	232335	1653528
4-25	0.673	4-25	238177	1697549
4-26	0.6708333333333333	4-26	244169	1742639
4-27	0.6656666666666666	4-27	250342	1789054
4-28	0.6833333333333333	4-28	256678	1836929
4-29	0.6655	4-29	263236	1886077
4-30	0.6603333333333333	4-30	269975	1936990
4-31	0.6665	4-31	282540	2020151
4-32	0.6625	4-32	305343	2179687
4-33	0.6726666666666666	4-33	314634	2245461
4-34	0.6621666666666667	4-34	324105	2312348
4-35	0.6643333333333333	4-35	333856	2381030
4-36	0.6656666666666666	4-36	343846	2451641
4-37	0.6703333333333333	4-37	354077	2524403
4-38	0.6656666666666666	4-38	364526	2598546
4-39	0.6685	4-39	375235	2674342
4-40	0.6653333333333333	4-40	386244	2751934
4-41	0.6623333333333333	4-41	397521	2831592
4-42	0.6738333333333333	4-42	409030	2913304
4-43	0.6693333333333333	4-43	420798	2996210
4-44	0.6668333333333333	4-44	432799	3081403
4-45	0.664	4-45	445097	3168428
4-46	0.66	4-46	457653	3258386
4-47	0.6673333333333333	4-47	470508	3351286
4-48	0.6758333333333333	4-48	483589	3445819
4-49	0.6643333333333333	4-49	496926	3542297
4-50	0.6641666666666667	4-50	515457	3688711
4-51	0.673	4-51	529629	3792345
4-52	0.665	4-52	544035	3898351
4-53	0.6786666666666666	4-53	558716	4006073
4-54	0.6728333333333333	4-54	573663	4116055
4-55	0.6675	4-55	594960	4287257
4-56	0.669	4-56	610989	4406519
4-57	0.6466666666666666	4-57	627317	4528244
4-58	0.6761666666666667	4-58	660175	4809196
4-59	0.6696666666666666	4-59	679562	4958946
5-8	0.2325	5-8	67443	371724
5-9	0.2798333333333333	5-9	75441	413081
5-10	0.497	5-10	86146	469274
5-11	0.5506666666666666	5-11	100346	543972
5-12	0.266	5-12	120206	647703
5-13	0.26	5-13	132453	712280
5-14	0.2915	5-14	143111	769779
5-15	0.2826666666666667	5-15	152879	822618
5-16	0.27516666666666667	5-16	161626	870568
5-17	0.618	5-17	169819	915891
5-18	0.6135	5-18	176732	954713
5-19	0.6338333333333334	5-19	183502	993778
5-20	0.6075	5-20	190162	1032528
5-21	0.6	5-21	196954	1072173
5-22	0.5968333333333333	5-22	203533	1110926
5-23	0.6025	5-23	210294	1150927
5-24	0.6158333333333333	5-24	217148	1191668
5-25	0.5963333333333334	5-25	224053	1232826
5-26	0.6035	5-26	231223	1275600
5-27	0.5853333333333334	5-27	237787	1315332
5-28	0.6058333333333333	5-28	244208	1354833
5-29	0.5995	5-29	250819	1395600
5-30	0.5933333333333334	5-30	257368	1436697
5-31	0.6736666666666666	5-31	263941	1477952
5-32	0.6538333333333334	5-32	270614	1520289
5-33	0.6665	5-33	277354	1562867
5-34	0.667	5-34	284252	1606695
5-35	0.6675	5-35	291366	1651889
5-36	0.6541666666666667	5-36	298654	1698103
5-37	0.6686666666666666	5-37	305894	1744283
5-38	0.6813333333333333	5-38	313258	1791879
5-39	0.6521666666666667	5-39	320847	1840919
5-40	0.6631666666666667	5-40	328580	1890553
5-41	0.6606666666666666	5-41	336457	1941131
5-42	0.674	5-42	344492	1993028
5-43	0.6606666666666666	5-43	352681	2046239
5-44	0.6615	5-44	383441	2266715
5-45	0.6721666666666667	5-45	393573	2331781
5-46	0.664	5-46	432830	2635225
5-47	0.6575	5-47	444167	2710715
5-48	0.6638333333333334	5-48	455765	2788176
5-49	0.6608333333333334	5-49	467492	2866452
5-50	0.6658333333333334	5-50	479399	2945764
5-51	0.6565	5-51	491485	3026705
5-52	0.6685	5-52	503751	3109414
5-53	0.6715	5-53	516277	3193656
5-54	0.6701666666666667	5-54	529074	3280013
5-55	0.6618333333333334	5-55	542131	3367687
5-56	0.6715	5-56	555367	3456837
5-57	0.671	5-57	600458	3814891
5-58	0.6553333333333333	5-58	615632	3921539
5-59	0.669	5-59	630806	4027734
5-60	0.6718333333333333	5-60	646199	4135405
5-61	0.6676666666666666	5-61	661771	4244168
5-62	0.6755	5-62	689769	4467418
5-63	0.673	5-63	721191	4722447
5-64	0.6783333333333333	5-64	739270	4852089
5-65	0.6805	5-65	757349	4982034
5-66	0.677	5-66	775733	5114669
5-67	0.6763333333333333	5-67	794117	5246603
5-68	0.6731666666666667	5-68	812813	5381468
5-69	0.6638333333333334	5-69	831699	5517564
5-70	0.6731666666666667	5-70	850778	5654859
5-71	0.659	5-71	870132	5794942
5-72	0.6691666666666667	5-72	889712	5935648
5-73	0.6868333333333333	5-73	909598	6079669
5-74	0.6815	5-74	929753	6224466
5-75	0.6691666666666667	5-75	950095	6371449
5-76	0.6828333333333333	5-76	1011252	6781548
5-77	0.67	5-77	1034011	6942790
5-78	0.6743333333333333	5-78	1056997	7106682
5-79	0.6726666666666666	5-79	1080375	7272549
6-7	0.6736666666666666	6-7	140912	895479
6-8	0.6683333333333333	6-8	143335	910368
6-9	0.679	6-9	145538	924635
6-10	0.6703333333333333	6-10	147913	940140
6-11	0.6815	6-11	150456	956586
6-12	0.6741666666666667	6-12	153174	974142
6-13	0.6751666666666667	6-13	155999	992236
6-14	0.671	6-14	158992	1011000
6-15	0.6736666666666666	6-15	165651	1049481
6-16	0.0003333333333333333	6-16	169513	1073435
6-17	0.685	6-17	175614	1109231
6-18	0.6578333333333334	6-18	191484	1222955
6-19	0.6746666666666666	6-19	196862	1256587
6-20	0.6738333333333333	6-20	202515	1292304
6-21	0.6716666666666666	6-21	208465	1329902
6-22	0.6693333333333333	6-22	214674	1369226
6-23	0.6671666666666667	6-23	221179	1410438
6-24	0.6618333333333334	6-24	227979	1453672
6-25	0.6651666666666667	6-25	235114	1499439
6-26	0.669	6-26	242427	1547306
6-27	0.6705	6-27	249956	1596690
6-28	0.665	6-28	257663	1647480
6-29	0.6683333333333333	6-29	265547	1699925
6-30	0.6726666666666666	6-30	273727	1754149
6-31	0.6715	6-31	282167	1810356
6-32	0.6726666666666666	6-32	290902	1868433
6-33	0.6746666666666666	6-33	299892	1928092
6-34	0.6731666666666667	6-34	309216	1989917
6-35	0.6638333333333334	6-35	318815	2053685
6-36	0.6731666666666667	6-36	328688	2119064
6-37	0.6773333333333333	6-37	338894	2186314
6-38	0.6628333333333334	6-38	356458	2319423
6-39	0.6673333333333333	6-39	367666	2394734
6-40	0.6596666666666666	6-40	379119	2471114
6-41	0.6656666666666666	6-41	390877	2549721
6-42	0.668	6-42	402981	2630795
6-43	0.6691666666666667	6-43	415350	2713523
6-44	0.6775	6-44	427984	2798118
6-45	0.666	6-45	440924	2884160
6-46	0.6646666666666666	6-46	454169	2972818
6-47	0.6731666666666667	6-47	467707	3063780
6-48	0.6798333333333333	6-48	481429	3155700
6-49	0.661	6-49	495348	3249917
6-50	0.669	6-50	509571	3345790
6-51	0.667	6-51	524058	3444114
6-52	0.674	6-52	538728	3544389
6-53	0.6746666666666666	6-53	553702	3646124
6-54	0.6583333333333333	6-54	568948	3750370
6-55	0.6673333333333333	6-55	584457	3855991
7-4	0.0036666666666666666	7-4	52334	365506
7-5	0.6635	7-5	57716	406704
7-6	0.6608333333333334	7-6	60566	426123
7-7	0.6545	7-7	62590	441262
7-8	0.6588333333333334	7-8	64808	458060
7-9	0.6598333333333334	7-9	67110	475487
7-10	0.6588333333333334	7-10	69482	493125
7-11	0.6666666666666666	7-11	72055	512112
7-12	0.668	7-12	77533	546503
7-13	0.661	7-13	80702	570747
7-14	0.6691666666666667	7-14	83982	595803
7-15	0.668	7-15	87672	623404
7-16	0.6616666666666666	7-16	91369	651319
7-17	0.6771666666666667	7-17	95220	680297
7-18	0.6723333333333333	7-18	99265	710644
7-19	0.6838333333333333	7-19	103277	740985
7-20	0.6723333333333333	7-20	107441	772278
7-21	0.6565	7-21	111836	805762
7-22	0.6688333333333333	7-22	116463	841114
7-23	0.6621666666666667	7-23	125002	913172
7-24	0.6575	7-24	130553	956458
7-25	0.661	7-25	136266	1001053
7-26	0.6755	7-26	169191	1287703
7-27	0.6723333333333333	7-27	181261	1394137
7-28	0.671	7-28	188662	1453604
7-29	0.6661666666666667	7-29	196241	1514842
7-30	0.6673333333333333	7-30	204153	1578950
7-31	0.6651666666666667	7-31	218278	1703808
7-32	0.665	7-32	227193	1777011
7-33	0.6608333333333334	7-33	236339	1852040
7-34	0.6745	7-34	245654	1928828
7-35	0.6675	7-35	255218	2007659
7-36	0.6598333333333334	7-36	265007	2087917
7-37	0.6715	7-37	275018	2170354
7-38	0.6725	7-38	285212	2253894
7-39	0.665	7-39	295627	2339596
7-40	0.6791666666666667	7-40	306340	2428720
7-41	0.6786666666666666	7-41	317368	2519379
7-42	0.6726666666666666	7-42	335597	2682220
7-43	0.6681666666666667	7-43	641817	5271886
7-44	0.6703333333333333	7-44	655875	5384949
7-45	0.6728333333333333	7-45	670155	5499561
7-46	0.6746666666666666	7-46	684735	5616281
7-47	0.685	7-47	699698	5735967
7-48	0.673	7-48	714883	5857792
7-49	0.6638333333333334	7-49	741835	6099207
7-50	0.6621666666666667	7-50	758719	6237088
7-51	0.6736666666666666	7-51	775866	6377283
7-52	0.6728333333333333	7-52	892761	7448978
7-53	0.6775	7-53	913249	7621496
7-54	0.6748333333333333	7-54	934100	7796402
7-55	0.6688333333333333	7-55	985792	8249828
7-56	0.6676666666666666	7-56	1008186	8439977
8-5	0.2815	8-5	59115	386292
8-6	0.6171666666666666	8-6	64979	426620
8-7	0.6123333333333333	8-7	68982	454924
8-8	0.6263333333333333	8-8	72625	480478
8-9	0.6345	8-9	75782	502857
8-10	0.6161666666666666	8-10	78344	520710
8-11	0.633	8-11	81017	539313
8-12	0.6203333333333333	8-12	83543	556316
8-13	0.6228333333333333	8-13	86169	574190
8-14	0.6071666666666666	8-14	88897	593123
8-15	0.6348333333333334	8-15	91735	612972
8-16	0.6466666666666666	8-16	94695	634110
8-17	0.6448333333333334	8-17	97700	655374
8-18	0.6333333333333333	8-18	100855	677859
8-19	0.6318333333333334	8-19	104027	700967
8-20	0.6405	8-20	107312	724828
8-21	0.6331666666666667	8-21	110787	750073
8-22	0.45366666666666666	8-22	114456	776793
8-23	0.6368333333333334	8-23	120295	821668
8-24	0.6258333333333334	8-24	124741	854737
8-25	0.6338333333333334	8-25	129303	888568
8-26	0.643	8-26	134004	923339
8-27	0.635	8-27	138847	959633
8-28	0.6311666666666667	8-28	143793	996484
8-29	0.6405	8-29	148862	1034030
8-30	0.6201666666666666	8-30	159751	1122926
8-31	0.6293333333333333	8-31	165291	1165114
8-32	0.6368333333333334	8-32	170997	1208779
8-33	0.6375	8-33	176885	1254065
8-34	0.6356666666666667	8-34	182956	1300812
8-35	0.6271666666666667	8-35	189209	1348650
8-36	0.6385	8-36	195605	1397622
8-37	0.6331666666666667	8-37	202244	1448466
8-38	0.6435	8-38	208964	1500056
8-39	0.6463333333333333	8-39	215866	1553451
8-40	0.6281666666666667	8-40	222911	1607684
8-41	0.6406666666666667	8-41	230138	1663412
8-42	0.6413333333333333	8-42	237365	1718941
8-43	0.6615	8-43	244775	1776112
8-44	0.669	8-44	252342	1834605
8-45	0.6771666666666667	8-45	260091	1894512
8-46	0.67	8-46	267982	1955368
8-47	0.6676666666666666	8-47	276055	2017736
8-48	0.6651666666666667	8-48	284269	2081097
8-49	0.6763333333333333	8-49	292665	2147179
8-50	0.6658333333333334	8-50	301177	2214577
8-51	0.663	8-51	309870	2283144
8-52	0.6756666666666666	8-52	327658	2432528
8-53	0.6675	8-53	337885	2514552
8-54	0.6621666666666667	8-54	348294	2598226
8-55	0.6766666666666666	8-55	358885	2683286
8-56	0.669	8-56	369658	2771311
8-57	0.6823333333333333	8-57	415903	3192649
8-58	0.6711666666666667	8-58	428220	3295641
8-59	0.679	8-59	440735	3400318
8-60	0.6748333333333333	8-60	453150	3504651
8-61	0.6598333333333334	8-61	465758	3610078
8-62	0.6745	8-62	478584	3717883
8-63	0.6601666666666667	8-63	491627	3827277
8-64	0.6713333333333333	8-64	504888	3938804
8-65	0.671	8-65	518366	4051984
8-66	0.6758333333333333	8-66	532062	4167211
8-67	0.6673333333333333	8-67	573098	4532631
8-68	0.6735	8-68	588947	4666933
8-69	0.665	8-69	605030	4803478
8-70	0.6786666666666666	8-70	621371	4941884
8-71	0.6763333333333333	8-71	637946	5082719
8-72	0.666	8-72	654739	5225036
8-73	0.6668333333333333	8-73	671709	5369151
8-74	0.6541666666666667	8-74	688856	5514614
8-75	0.6598333333333334	8-75	706221	5661608
8-76	0.6735	8-76	723844	5811568
8-77	0.6686666666666666	8-77	741725	5963768
8-78	0.6726666666666666	8-78	759823	6118428
8-79	0.6651666666666667	8-79	778098	6274290
8-80	0.6726666666666666	8-80	796631	6432919
8-81	0.6646666666666666	8-81	815342	6593662
9-8	0.0	9-8	46544	320732
9-9	0.656	9-9	63822	454143
9-10	0.6643333333333333	9-10	81601	613829
9-11	0.6451666666666667	9-11	88660	672829
9-12	0.6586666666666666	9-12	94799	723284
9-13	0.6526666666666666	9-13	99588	761701
9-14	0.6631666666666667	9-14	103986	797157
9-15	0.6571666666666667	9-15	108370	833006
9-16	0.644	9-16	116460	889440
9-17	0.6508333333333334	9-17	121125	927081
9-18	0.6568333333333334	9-18	125646	962837
9-19	0.6463333333333333	9-19	130273	1000123
9-20	0.6618333333333334	9-20	140159	1085911
9-21	0.6513333333333333	9-21	145305	1127040
9-22	0.662	9-22	150560	1168618
9-23	0.659	9-23	156021	1211932
9-24	0.6535	9-24	161576	1256009
9-25	0.6548333333333334	9-25	167242	1302262
9-26	0.6595	9-26	173069	1349879
9-27	0.66	9-27	179004	1398319
9-28	0.6741666666666667	9-28	185114	1448370
9-29	0.6561666666666667	9-29	191314	1499377
9-30	0.6618333333333334	9-30	197701	1551352
9-31	0.6625	9-31	204224	1604993
9-32	0.6766666666666666	9-32	210928	1659760
9-33	0.6525	9-33	217819	1716794
9-34	0.6626666666666666	9-34	224801	1774699
9-35	0.6763333333333333	9-35	231967	1833781
9-36	0.6588333333333334	9-36	239317	1894914
9-37	0.6625	9-37	246831	1957571
9-38	0.6556666666666666	9-38	254529	2021432
9-39	0.6585	9-39	262331	2086694
9-40	0.6656666666666666	9-40	270337	2153604
9-41	0.6611666666666667	9-41	278585	2222748
9-42	0.6651666666666667	9-42	286924	2292396
9-43	0.6626666666666666	9-43	295397	2363606
9-44	0.6476666666666666	9-44	307053	2466615
9-45	0.6621666666666667	9-45	316366	2545498
9-46	0.671	9-46	325885	2626281
9-47	0.6753333333333333	9-47	335557	2708512
9-48	0.6611666666666667	9-48	345408	2791892
9-49	0.6781666666666667	9-49	355559	2877672
9-50	0.6716666666666666	9-50	365969	2966252
9-51	0.6715	9-51	376558	3056115
9-52	0.6543333333333333	9-52	387367	3147766
9-53	0.678	9-53	398315	3240976
9-54	0.6731666666666667	9-54	409482	3336200
9-55	0.6693333333333333	9-55	420828	3432815
9-56	0.6766666666666666	9-56	455981	3756601
9-57	0.672	9-57	469193	3871168
9-58	0.6773333333333333	9-58	482553	3986926
9-59	0.6656666666666666	9-59	496131	4104928
9-60	0.6625	9-60	530456	4436323
9-61	0.662	9-61	544487	4558978
9-62	0.6616666666666666	9-62	558663	4682860
9-63	0.6586666666666666	9-63	573057	4808152
9-64	0.6628333333333334	9-64	587587	4934870
9-65	0.6688333333333333	9-65	602254	5062725
9-66	0.679	9-66	617098	5192276
9-67	0.6563333333333333	9-67	632200	5324163
9-68	0.654	9-68	647439	5457162
9-69	0.6715	9-69	662855	5591480
9-70	0.6661666666666667	9-70	678529	5728608
9-71	0.6713333333333333	9-71	694461	5867565
9-72	0.6645	9-72	710651	6009312
9-73	0.6825	9-73	726978	6152796
9-74	0.6618333333333334	9-74	743604	6298811
9-75	0.6648333333333334	9-75	760229	6444480
9-76	0.667	9-76	777073	6592070
9-77	0.6588333333333334	9-77	794094	6741363
9-78	0.6741666666666667	9-78	811115	6890301
9-79	0.669	9-79	828394	7042197
9-80	0.664	9-80	879025	7448811
9-81	0.6663333333333333	9-81	899937	7624416
9-82	0.658	9-82	921029	7801936
9-83	0.6638333333333334	9-83	942381	7981579
9-84	0.675	9-84	963733	8161199
9-85	0.6793333333333333	9-85	985264	8342732
9-86	0.674	9-86	1012346	8575428
9-87	0.6666666666666666	9-87	1036143	8776027
10-4	0.5351666666666667	10-4	139223	708638
10-5	0.5651666666666667	10-5	142788	726763
10-6	0.5561666666666667	10-6	147090	748625
10-7	0.554	10-7	151022	769814
10-8	0.5851666666666666	10-8	154934	791294
10-9	0.5895	10-9	159135	814643
10-10	0.6083333333333333	10-10	163456	839079
10-11	0.6605	10-11	167845	864052
10-12	0.6421666666666667	10-12	172173	888722
10-13	0.6736666666666666	10-13	176479	913853
