1-5	3292	8603
1-6	5545	16626
1-7	6865	21505
1-8	8589	28130
1-9	96080	429264
1-10	99916	446901
1-11	103469	462815
1-12	110830	491690
1-13	115101	510616
1-14	125458	559300
1-15	135417	606190
1-16	145647	655660
1-17	151723	683472
1-18	157759	711188
1-19	169527	762038
1-20	176402	793219
1-21	187729	847312
1-22	195292	882331
1-23	203116	919223
1-24	214242	973550
1-25	223195	1015964
1-26	233296	1064677
1-27	243412	1113347
1-28	253753	1163103
1-29	266630	1221768
1-30	291220	1330059
1-31	308716	1409871
1-32	322437	1474194
1-33	336521	1540132
1-34	350907	1607555
1-35	365688	1676734
1-36	380734	1747825
1-37	430635	1994385
1-38	448582	2080584
1-39	466785	2168071
1-40	485389	2257972
1-41	504298	2349322
1-42	523687	2442811
1-43	543392	2538265
1-44	597793	2810534
1-45	619208	2914783
1-46	641070	3021556
1-47	663402	3130220
1-48	686268	3242308
1-49	709413	3355537
1-50	733250	3472129
1-51	757489	3591135
1-52	782093	3711895
1-53	818469	3898043
1-54	846232	4033279
1-55	874417	4170669
1-56	908980	4337657
1-57	939618	4486093
1-58	970708	4637126
1-59	1002053	4789852
1-60	1034003	4946434
1-61	1066633	5105780
1-62	1099693	5267972
1-63	1133241	5432401
1-64	1167182	5598336
1-65	1201600	5767026
1-66	1235979	5935482
1-67	1270934	6106635
1-68	1305889	6278243
1-69	1341279	6452308
1-70	1379453	6640225
1-71	1433062	6912885
1-72	1474560	7119282
1-73	1539019	7451676
1-74	1581668	7663472
1-75	1624317	7874308
1-76	1666975	8085880
1-77	1709585	8297005
1-78	1752195	8508460
1-79	1795373	8722552
1-80	1839203	8940015
1-81	1882957	9156889
1-82	1926748	9373844
1-83	1971105	9593727
1-84	2016026	9816734
1-85	2061653	10043086
1-86	2107241	10269436
1-87	2152829	10496069
1-88	2198417	10722698
1-89	2244571	10951883
1-90	2291290	11183770
1-91	2338525	11418863
1-92	2386367	11656499
1-93	2434778	11896724
1-94	2483849	12140103
1-95	2540248	12422613
1-96	2594711	12693424
1-97	2665518	13036360
1-98	2729565	13351611
1-99	2787047	13635087
1-100	2864929	14029976
1-101	2927744	14341762
1-102	3006764	14728589
1-103	3074325	15059304
1-104	3142594	15393824
1-105	3211570	15731850
2-6	4640	13103
2-7	84267	359763
2-8	93781	401608
2-9	98216	420900
2-10	102571	440237
2-11	110138	471553
2-12	115410	494429
2-13	120349	516283
2-14	129707	560165
2-15	141580	612512
2-16	147117	636438
